pair,direction,entry_time,exit_time,entry_price,exit_price,units,gross_pnl_usd,net_pnl_usd,r_multiple,commission_usd,exit_reason,strategy_family,context_key,setup_tag,context_trades_before,context_win_rate_before,context_expectancy_before
EURUSD,short,2022-01-10 18:35:00-05:00,2022-01-10 18:45:00-05:00,1.13291,1.1330956037455338,1765000,-327.5906108669258,-407.5806086791431,-1.4840507650799144,79.98999781221735,stop_loss,session_mean_reversion,,,0,0.0,0.0
EURUSD,short,2022-01-24 13:45:00-05:00,2022-01-24 13:55:00-05:00,1.13303,1.1333402796536194,1757000,-545.161351409295,-624.8016030363232,-1.2687580229970168,79.64025162702819,stop_loss,session_mean_reversion,,,0,0.0,0.0
EURUSD,long,2022-02-07 13:30:00-05:00,2022-02-07 14:30:00-05:00,1.14202,1.1430271271950758,1733000,1745.351429066336,1666.1516956377548,3.169071206536323,79.19973342858134,take_profit,session_mean_reversion,,,0,0.0,0.0
EURUSD,long,2022-02-09 17:25:00-05:00,2022-02-09 17:45:00-05:00,1.1422350000000001,1.142038255160451,1762000,-346.66440728535974,-427.1621967972141,-1.4988441382624167,80.49778951185431,stop_loss,session_mean_reversion,,,0,0.0,0.0
EURUSD,long,2022-02-10 16:40:00-05:00,2022-02-10 18:05:00-05:00,1.14276,1.14117,1753000,-2787.2699999999654,-2867.3445857999654,-3.3834538664814895,80.07458580000001,volatility_shock,session_mean_reversion,,,0,0.0,0.0
EURUSD,short,2022-02-28 11:10:00-05:00,2022-02-28 11:25:00-05:00,1.12204,1.1228780772829197,1237000,-1036.701598971713,-1092.2408722036926,-1.0926871267498184,55.539273231979436,stop_loss,session_mean_reversion,,,0,0.0,0.0
EURUSD,short,2022-03-08 13:25:00-05:00,2022-03-08 13:35:00-05:00,1.09337,1.0910614491356205,929000,2144.6437530084827,2104.0570166835428,2.10478874920127,40.586736324939835,take_profit,session_mean_reversion,,,0,0.0,0.0
EURUSD,short,2022-03-14 12:45:00-04:00,2022-03-14 12:55:00-04:00,1.09837,1.0970005834027203,1790000,2451.255709130731,2372.6614422449134,2.7889931564642394,78.5942668858174,take_profit,session_mean_reversion,,,0,0.0,0.0
EURUSD,short,2022-03-15 18:40:00-04:00,2022-03-15 18:45:00-04:00,1.09535,1.0956212279251354,1839000,-498.78815432389433,-579.3720760869808,-1.3060152530725975,80.5839217630865,stop_loss,session_mean_reversion,,,0,0.0,0.0
EURUSD,long,2022-03-21 13:35:00-04:00,2022-03-21 13:45:00-04:00,1.10338,1.1028111891588066,1815000,-1032.3916767660635,-1112.476416932528,-1.1375692879879118,80.08474016646468,stop_loss,session_mean_reversion,,,0,0.0,0.0
EURUSD,short,2022-03-24 11:55:00-04:00,2022-03-24 12:50:00-04:00,1.10047,1.0991980894146818,1799000,2288.167142987588,2209.0230851304477,2.330819780853479,79.14405785714027,take_profit,session_mean_reversion,,,0,0.0,0.0
EURUSD,short,2022-03-28 13:35:00-04:00,2022-03-28 14:05:00-04:00,1.09951,1.0981128809259433,1841000,2572.0962153383985,2491.1797408627053,3.7928271619619314,80.91647447569324,take_profit,session_mean_reversion,,,0,0.0,0.0
EURUSD,short,2022-04-08 15:10:00-04:00,2022-04-08 16:20:00-04:00,1.08793,1.087235621589038,1906000,1323.4852512937496,1240.5679377987756,2.2407517171652263,82.91731349497414,take_profit,session_mean_reversion,,,0,0.0,0.0
EURUSD,short,2022-04-10 18:10:00-04:00,2022-04-10 18:45:00-04:00,1.09057,1.08932,1925000,2406.2499999999486,2322.3242349999487,3.0734435418846044,83.92576500000001,session_close,session_mean_reversion,,,0,0.0,0.0
EURUSD,short,2022-04-13 12:55:00-04:00,2022-04-13 13:25:00-04:00,1.08815,1.088606530377392,1972000,-900.2779042170577,-986.129181775142,-1.1724030327151425,85.85127755808435,stop_loss,session_mean_reversion,,,0,0.0,0.0
EURUSD,short,2022-04-24 17:40:00-04:00,2022-04-24 18:05:00-04:00,1.080485,1.0808573111010475,1967000,-732.3359357606857,-817.3631422794009,-1.2139189935642818,85.0272065187152,stop_loss,session_mean_reversion,,,0,0.0,0.0
EURUSD,short,2022-05-02 18:40:00-04:00,2022-05-02 18:45:00-04:00,1.0511,1.05105,2007000,100.34999999976613,15.969698999766123,0.03667894154490314,84.380301,session_close,session_mean_reversion,,,0,0.0,0.0
EURUSD,short,2022-05-04 11:40:00-04:00,2022-05-04 12:00:00-04:00,1.05476,1.0542410631281596,1951000,1012.445836960518,930.1526154772573,0.9304299838975817,82.2932214832608,take_profit,session_mean_reversion,,,0,0.0,0.0
EURUSD,long,2022-05-20 11:35:00-04:00,2022-05-20 12:10:00-04:00,1.0556699999999999,1.0551272256663549,1950000,-1058.409950607797,-1140.7310424087848,-1.140833773796663,82.32109180098784,stop_loss,session_mean_reversion,,,0,0.0,0.0
EURUSD,long,2022-06-08 17:35:00-04:00,2022-06-08 18:20:00-04:00,1.071575,1.0718958499390123,1965000,630.4701301593263,546.2317257567231,1.8831990578771318,84.23840440260318,take_profit,session_mean_reversion,,,0,0.0,0.0
EURUSD,short,2022-06-15 15:40:00-04:00,2022-06-15 16:00:00-04:00,1.04409,1.045476463035276,737000,-1021.8232569984185,-1052.6234666635585,-1.052925385649061,30.80020966513997,stop_loss,session_mean_reversion,,,0,0.0,0.0
EURUSD,short,2022-06-17 14:35:00-04:00,2022-06-17 14:45:00-04:00,1.04932,1.0498323858073915,1997000,-1023.2344573606969,-1107.0746036498442,-1.1492229800569307,83.84014628914723,stop_loss,session_mean_reversion,,,0,0.0,0.0
EURUSD,long,2022-06-27 16:50:00-04:00,2022-06-27 18:45:00-04:00,1.058002,1.0577317836490279,1959000,-529.3538315546202,-612.2482811979892,-1.3010397726060867,82.89444964336892,stop_loss,session_mean_reversion,,,0,0.0,0.0
