pair,year,trades,wins,losses,net_pnl_usd,profit_factor
AUDUSD,2020,5,2,3,-2014.8983144363867,0.18693268985158867
AUDUSD,2021,6,3,3,-678.8762123067369,0.37349519071349385
EURUSD,2020,9,4,5,-2715.278228091198,0.2977421015829701
EURUSD,2021,3,1,2,-1111.9675111089873,0.05155543138762578
GBPJPY,2020,12,5,7,-3636.7300380664847,0.31840964863620264
GBPJPY,2021,3,1,2,-764.3208543583675,0.06979530352622142
GBPUSD,2020,7,2,5,-3279.1614368799237,0.12645916410573071
GBPUSD,2021,1,1,0,192.65617387111345,inf
USDCAD,2020,11,9,2,1278.6069253879286,1.869520193997023
USDCAD,2021,8,5,3,-1688.854844302506,0.2367593140179809
USDCHF,2020,11,5,6,-3820.955297728836,0.165344544749642
USDCHF,2021,2,1,1,-629.3133948466036,0.12124769952064715
USDJPY,2020,11,6,5,-1842.4817262741644,0.3665082043049012
USDJPY,2021,4,4,0,561.041510960267,inf
