pair,bars,coverage_ratio,missing_bars,max_missing_streak_bars,duplicate_timestamps,unexpected_schedule_bars,weekend_bars,zero_range_bars,nonpositive_prices,invalid_hilo_bars,outlier_return_bars,quality_score,quality_status
USDCAD,150600,1.0,0,0,0,0,0,1067,0,0,34,92.965,warn
EURUSD,150600,1.0,0,0,0,0,0,982,0,0,49,92.64,warn
GBPJPY,150600,1.0,0,0,0,0,0,1003,0,0,53,92.335,warn
USDCHF,150600,1.0,0,0,0,0,0,1255,0,0,33,92.07499999999999,warn
GBPUSD,150600,1.0,0,0,0,0,0,1072,0,0,52,92.04,warn
USDJPY,150600,1.0,0,0,0,0,0,992,0,0,70,91.54,warn
AUDUSD,150600,1.0,0,0,0,0,0,1052,0,0,75,90.99,warn
