trade_id,entry_time,side,entry_price,sl,tp,outcome,exit_price,exit_time,pnl_r
N/A,2015-04-03T11:42:00+00:00,SHORT,1.08895,1.0877199999999998,1.0906720000000003,TP,1.0906720000000003,2015-04-03T11:42:06.410000+00:00,1.4
N/A,2015-04-06T12:27:00+00:00,SHORT,1.10058,1.10058,1.10345,TP,1.10345,2015-04-06T12:27:02.090000+00:00,1.4
N/A,2015-04-07T14:57:00+00:00,SHORT,1.08584,1.08584,1.0820039999999995,SL,1.08584,2015-04-07T14:57:00.625000+00:00,-1.0
N/A,2015-04-08T14:06:00+00:00,SHORT,1.08243,1.08243,1.0777819999999998,SL,1.08243,2015-04-08T14:06:00.061000+00:00,-1.0
N/A,2015-04-09T15:57:00+00:00,SHORT,1.06705,1.06705,1.0643479999999998,SL,1.06705,2015-04-09T15:57:00.070000+00:00,-1.0
N/A,2015-04-13T11:27:00+00:00,SHORT,1.05317,1.05317,1.054906,TP,1.054906,2015-04-13T11:27:01.378000+00:00,1.4
N/A,2015-04-14T14:27:00+00:00,SHORT,1.06948,1.0658099999999997,1.0746180000000003,TP,1.0746180000000003,2015-04-14T14:27:01.753000+00:00,1.4
N/A,2015-04-15T18:57:00+00:00,SHORT,1.06837,1.0663199999999995,1.0712400000000004,TP,1.0712400000000004,2015-04-15T18:57:00.774000+00:00,1.4
N/A,2015-04-16T17:09:00+00:00,SHORT,1.07335,1.07335,1.0741620000000005,TP,1.0741620000000005,2015-04-16T17:09:00.006000+00:00,1.4
N/A,2015-04-17T12:09:00+00:00,SHORT,1.08107,1.08445,1.0763379999999998,BE,1.08107,2015-04-17T12:14:34.439000+00:00,0.0
N/A,2015-04-20T12:36:00+00:00,SHORT,1.07444,1.07444,1.0790600000000006,TP,1.0790600000000006,2015-04-20T12:36:02.322000+00:00,1.4
N/A,2015-04-21T12:15:00+00:00,SHORT,1.07096,1.07096,1.073018,TP,1.073018,2015-04-21T12:15:00.058000+00:00,1.4
N/A,2015-04-22T13:21:00+00:00,SHORT,1.07325,1.07325,1.0767360000000006,TP,1.0767360000000006,2015-04-22T13:21:01.351000+00:00,1.4
N/A,2015-04-23T15:24:00+00:00,SHORT,1.08171,1.08171,1.085868,TP,1.085868,2015-04-23T15:24:00.112000+00:00,1.4
N/A,2015-04-24T14:42:00+00:00,SHORT,1.08505,1.08505,1.0915880000000002,TP,1.0915880000000002,2015-04-24T14:42:02.058000+00:00,1.4
N/A,2015-04-27T11:30:00+00:00,SHORT,1.08352,1.08352,1.081462,SL,1.08352,2015-04-27T11:30:02.331000+00:00,-1.0
N/A,2015-04-28T12:09:00+00:00,SHORT,1.09273,1.09273,1.0898879999999995,SL,1.09273,2015-04-28T12:09:01.643000+00:00,-1.0
N/A,2015-04-29T11:18:00+00:00,SHORT,1.10011,1.10011,1.102434,TP,1.102434,2015-04-29T11:18:00.039000+00:00,1.4
N/A,2015-04-30T11:42:00+00:00,SHORT,1.12014,1.12014,1.123276,TP,1.123276,2015-04-30T11:42:01.786000+00:00,1.4
