label,style,variant,regime,session,design_return_pct,design_drawdown_pct,design_profit_factor,design_trades_per_month,design_total_trades,oos_return_pct,oos_drawdown_pct,oos_profit_factor,oos_trades_per_month,oos_total_trades,accepted,score
mr_vwap_rsi7__mr_strict__core__tight,mr_vwap_rsi7,tight,mr_strict,core,-0.8352561421374971,1.278780229345714,0.3497550574637802,0.08333333333333333,2,0.9412022866101433,0.0,inf,0.0625,3,False,205.82628764437993
mr_vwap_rsi7__mr_balanced__early__tight,mr_vwap_rsi7,tight,mr_balanced,early,3.098007955966353,0.10150965530259391,20.12950863162935,0.3333333333333333,8,-7.2620692783926355,7.926502325754581,0.21466204877391054,0.3125,15,False,67.4485150580004
mr_vwap_rsi7__mr_strict__early__tight,mr_vwap_rsi7,tight,mr_strict,early,0.0,0.0,inf,0.0,0,-3.1746865625042253,3.1746865625042267,0.09431826408851317,0.08333333333333333,4,False,34.42471361503598
mr_vwap_rsi7__mr_balanced__core__tight,mr_vwap_rsi7,tight,mr_balanced,core,-4.15555134252118,4.4677660145572204,0.3082210768784711,0.5416666666666666,13,-0.2379625718810674,1.291974989611302,0.9152148433258456,0.3541666666666667,17,False,5.240373410874014
mr_vwap_rsi7__mr_strict__core__balanced,mr_vwap_rsi7,balanced,mr_strict,core,-4.882469066277451,4.909406484906867,0.24567821198728337,0.75,18,-0.17727899543678038,1.4689522728492448,0.9218423132169132,0.22916666666666666,11,False,-0.5868221463923078
mr_vwap_rsi2__mr_strict__core__tight,mr_vwap_rsi2,tight,mr_strict,core,-8.543146947481151,8.543146947481144,0.10525043871802552,0.5416666666666666,13,-1.9173422770407011,3.051978554354027,0.7485114147380428,0.4583333333333333,22,False,-48.30382241949964
mr_vwap_rsi7__mr_balanced__core__balanced,mr_vwap_rsi7,balanced,mr_balanced,core,-8.896451657041627,9.395878469386746,0.3446974681533298,1.5833333333333333,38,-4.742568523901514,6.259377761278069,0.5949289680315989,0.9583333333333334,46,False,-61.76944684196139
mr_vwap_rsi7__mr_strict__full__tight,mr_vwap_rsi7,tight,mr_strict,full,-0.8352561421374971,1.278780229345714,0.3497550574637802,0.08333333333333333,2,-4.962709401598198,5.196234906874117,0.2039956575412183,0.1875,9,False,-72.47961840278693
mr_bb_stoch__mr_strict__core__tight,mr_bb_stoch,tight,mr_strict,core,-7.158849386054644,7.158849386054644,0.10417752569169464,0.5416666666666666,13,-4.031561020880414,4.846525933276076,0.3922894134525917,0.25,12,False,-86.09517996645239
mr_bb_stoch__mr_balanced__core__tight,mr_bb_stoch,tight,mr_balanced,core,-7.875533936598567,8.448450090877412,0.26486809692722335,1.0,24,-6.448515120151644,7.264810156645867,0.3974857614643487,0.5416666666666666,26,False,-109.14873385270388
mr_vwap_rsi2__mr_strict__early__tight,mr_vwap_rsi2,tight,mr_strict,early,-2.205134640201545,3.6561283600031356,0.6980289730704237,0.8333333333333334,20,-9.212485960609296,9.861470758878339,0.5385365651775917,0.75,36,False,-109.90277631807291
mr_bb_stoch__mr_strict__early__tight,mr_bb_stoch,tight,mr_strict,early,-1.059746224137048,1.1239175856847232,0.05770770027017952,0.08333333333333333,2,-8.072643306143956,8.224221287889833,0.13645827161534999,0.25,12,False,-122.43574180563995
mr_bb_stoch__mr_strict__early__balanced,mr_bb_stoch,balanced,mr_strict,early,-2.350439944346827,3.395365560320745,0.3081467417323014,0.25,6,-7.96032224619907,8.164383044502136,0.1422084218448217,0.2916666666666667,14,False,-125.7120970147709
mr_vwap_rsi2__mr_strict__core__balanced,mr_vwap_rsi2,balanced,mr_strict,core,-9.768398466555706,11.5518530755314,0.24824068308972136,1.0,24,-7.651502420674006,8.310890721551434,0.4817212242325831,0.6666666666666666,32,False,-136.4751143587593
mr_bb_stoch__mr_strict__core__balanced,mr_bb_stoch,balanced,mr_strict,core,-5.762558371463699,5.762558371463703,0.13879290789400064,0.5416666666666666,13,-7.805184099074158,9.785680089864764,0.2119537129753356,0.3333333333333333,16,False,-149.74717153254943
mr_vwap_rsi7__mr_balanced__full__tight,mr_vwap_rsi7,tight,mr_balanced,full,-1.9296725054460673,2.9425376755711086,0.7389502631229894,0.9583333333333334,23,-11.677395491380816,12.921079846030528,0.2990374269213563,0.7708333333333334,37,False,-153.0123164783557
mr_vwap_rsi7__mr_strict__early__balanced,mr_vwap_rsi7,balanced,mr_strict,early,-2.482134031102168,3.2229590728263577,0.24256899137971025,0.20833333333333334,5,-9.583932938181071,10.920594073389701,0.24451383986764938,0.4791666666666667,23,False,-154.40148065476922
mr_bb_stoch__mr_balanced__core__balanced,mr_bb_stoch,balanced,mr_balanced,core,-9.448537859135254,9.945784448253155,0.25283736819829716,1.1666666666666667,28,-10.085151090699396,11.902608670635892,0.3259398058078268,0.7083333333333334,34,False,-178.00904503342886
mr_vwap_rsi2__mr_strict__early__balanced,mr_vwap_rsi2,balanced,mr_strict,early,-6.182537356151185,6.751332591599174,0.5863299453427464,1.375,33,-14.681732165536154,16.084103148983274,0.49726097946010384,1.2083333333333333,58,False,-197.83263707647134
mr_vwap_rsi7__mr_strict__full__balanced,mr_vwap_rsi7,balanced,mr_strict,full,-9.755902581113086,9.7828399997425,0.19645005394859225,1.0416666666666667,25,-12.409411907089908,12.639839185130528,0.29500807765834636,0.75,36,False,-201.19293313695192
mr_bb_stoch__mr_strict__full__tight,mr_bb_stoch,tight,mr_strict,full,-8.218595610191691,8.218595610191697,0.0984445233294856,0.625,15,-13.30281475712971,13.302814757129717,0.22572166390178175,0.5208333333333334,25,False,-223.52128697722074
mr_vwap_rsi2__mr_strict__full__tight,mr_vwap_rsi2,tight,mr_strict,full,-13.061547130038075,13.539707785420452,0.3353014146041599,1.5416666666666667,37,-14.734657671755825,15.786043495625007,0.5438966439486214,1.3333333333333333,64,False,-228.8232955260706
mr_bb_stoch__mr_balanced__early__balanced,mr_bb_stoch,balanced,mr_balanced,early,-7.774761345051562,8.032903019869075,0.15993749643669186,0.75,18,-15.633222575282769,15.633222575282765,0.23156294967591914,0.8125,39,False,-244.40193700909177
mr_bb_stoch__mr_balanced__early__tight,mr_bb_stoch,tight,mr_balanced,early,-3.454630062716646,3.461985117032288,0.2645763320259462,0.4583333333333333,11,-16.14840441559211,16.42965878919088,0.11699032120228477,0.5208333333333334,25,False,-247.48779789877068
mr_bb_stoch__mr_strict__full__balanced,mr_bb_stoch,balanced,mr_strict,full,-8.111002608002426,8.369144282819937,0.19602037611671747,0.8333333333333334,20,-15.798796544842054,15.798796544842059,0.17790745489437837,0.625,30,False,-255.68634829126955
mr_vwap_rsi2__mr_balanced__core__tight,mr_vwap_rsi2,tight,mr_balanced,core,-22.396308873704342,22.91316394641794,0.12439668432454237,1.625,39,-16.892183348023494,17.889043584360053,0.38947196030564607,1.2291666666666667,59,False,-326.23753011744594
mr_vwap_rsi7__mr_balanced__early__balanced,mr_vwap_rsi7,balanced,mr_balanced,early,-9.754709394565154,9.910233544497396,0.3321744836877357,1.25,30,-22.229467780247347,23.68673808856068,0.3392586408150642,1.4375,69,False,-337.45197184840765
mr_vwap_rsi2__mr_balanced__core__balanced,mr_vwap_rsi2,balanced,mr_balanced,core,-17.686125388073215,19.469819218337253,0.3087750778534838,2.25,54,-24.89938282071902,25.703538987704462,0.41884622877186656,1.9166666666666667,92,False,-387.1694225859223
mr_vwap_rsi2__mr_strict__full__balanced,mr_vwap_rsi2,balanced,mr_strict,full,-19.796814223924176,20.28653118187014,0.37535579009328046,2.5833333333333335,62,-25.51344924389687,26.608748382485075,0.47417662328958116,1.9791666666666667,95,False,-396.5882203436896
mr_bb_stoch__mr_balanced__full__tight,mr_bb_stoch,tight,mr_balanced,full,-13.158261439754638,13.459943308349978,0.26320029043576154,1.625,39,-26.499600809777803,26.71924827440819,0.19437624201621612,1.1875,57,False,-420.3532565518475
mr_vwap_rsi2__mr_balanced__early__tight,mr_vwap_rsi2,tight,mr_balanced,early,-5.4684760102373,8.738742598596279,0.7303203312308866,2.375,57,-31.786332208860447,32.74831795518228,0.4208746934697051,2.0416666666666665,98,False,-420.66637203393736
mr_bb_stoch__mr_balanced__full__balanced,mr_bb_stoch,balanced,mr_balanced,full,-18.875507747691056,19.381624761743964,0.22311076939610144,2.125,51,-28.25525813786357,28.833192946655135,0.25335302522715974,1.625,78,False,-458.78904617637875
mr_vwap_rsi7__mr_balanced__full__balanced,mr_vwap_rsi7,balanced,mr_balanced,full,-25.152485330163323,25.524345945801898,0.2898755373774661,3.2916666666666665,79,-32.71566474510556,33.952638953731906,0.37134399531187584,2.5625,123,False,-510.14351491289614
trend_ema_rsi7__trend_active__early__tight,trend_ema_rsi7,tight,trend_active,early,-34.639125236290894,40.338471496758224,0.5980505989711632,5.791666666666667,139,-42.59927795810484,46.211307799140265,0.7647724012015547,6.729166666666667,323,False,-572.4276960505125
mr_vwap_rsi2__mr_balanced__early__balanced,mr_vwap_rsi2,balanced,mr_balanced,early,-15.7010284595827,18.109782724057112,0.5916410251149244,3.7083333333333335,89,-50.29046902237106,51.474683393351164,0.4018964799517921,3.25,156,False,-703.39311141651
mr_vwap_rsi2__mr_balanced__full__tight,mr_vwap_rsi2,tight,mr_balanced,full,-30.244415953952686,31.239257933814546,0.39581120329154584,4.375,105,-56.587629802449314,56.94608002518461,0.3838135810863615,3.5208333333333335,169,False,-855.2563481283125
trend_ema_rsi7__trend_active__core__tight,trend_ema_rsi7,tight,trend_active,core,-63.62271166733182,63.622711667331814,0.39696250113559384,5.958333333333333,143,-64.56686055968271,66.85592005598696,0.6149144804841623,5.666666666666667,272,False,-1076.3893109698554
trend_ema_rsi7__trend_active__early__balanced,trend_ema_rsi7,balanced,trend_active,early,-69.92808886511305,74.0092451759984,0.4780813134305202,8.208333333333334,197,-61.26862453900242,65.74995114057829,0.7561752966067677,9.041666666666666,434,False,-1082.0562606344376
