timestamp,event,details
2026-04-24T16:06:51.232018,SESSION_START,Balance inicial: 100.0
2026-04-24T16:29:38.811340,SESSION_START,Balance inicial: 100.0
2026-04-24T16:35:38.835465,KILL_SWITCH_TRIGGERED,Drawdown o error critico
2026-04-24T16:35:38.838251,SESSION_END,
2026-04-24T16:35:59.070827,SESSION_START,Balance inicial: 100.0
2026-04-24T16:40:18.618438,SESSION_START,Balance inicial: 100.0
2026-04-24T16:42:32.332534,SESSION_START,Balance inicial: 100.0
2026-04-24T16:47:30.403301,SESSION_START,Balance inicial: 100.0
2026-04-24T16:47:30.408793,HEARTBEAT,NY:15:47:30 | Server:N/A | Spread:0.0 | Pos:0 | Window:True
2026-04-24T16:48:00.744907,SESSION_START,Balance inicial: 100.0
2026-04-24T16:48:00.749086,HEARTBEAT,NY:15:48:00 | Server:N/A | Spread:0.0 | Pos:0 | Window:True
2026-04-24T16:52:30.431563,HEARTBEAT,NY:15:52:30 | Server:N/A | Spread:0.0 | Pos:0 | Window:True
2026-04-24T16:53:00.768419,HEARTBEAT,NY:15:53:00 | Server:N/A | Spread:0.0 | Pos:0 | Window:True
2026-04-24T16:57:30.456023,HEARTBEAT,NY:15:57:30 | Server:N/A | Spread:0.0 | Pos:0 | Window:True
2026-04-24T16:58:00.790164,HEARTBEAT,NY:15:58:00 | Server:N/A | Spread:0.0 | Pos:0 | Window:True
2026-04-24T17:02:30.478597,HEARTBEAT,NY:16:02:30 | Server:N/A | Spread:0.0 | Pos:0 | Window:True
2026-04-24T17:03:00.810075,HEARTBEAT,NY:16:03:00 | Server:N/A | Spread:0.0 | Pos:0 | Window:True
2026-04-24T17:07:30.498757,HEARTBEAT,NY:16:07:30 | Server:N/A | Spread:0.0 | Pos:0 | Window:True
2026-04-24T17:08:00.832292,HEARTBEAT,NY:16:08:00 | Server:N/A | Spread:0.0 | Pos:0 | Window:True
2026-04-24T17:09:09.485059,SESSION_START,Balance inicial: 100.0
2026-04-24T17:09:09.489154,HEARTBEAT,NY:16:09:09 | Server:N/A | Spread:0.0 | Pos:0 | Window:True
2026-04-24T17:12:30.519933,HEARTBEAT,NY:16:12:30 | Server:N/A | Spread:0.0 | Pos:0 | Window:True
2026-04-24T17:13:00.853760,HEARTBEAT,NY:16:13:00 | Server:N/A | Spread:0.0 | Pos:0 | Window:True
2026-04-24T17:14:09.508784,HEARTBEAT,NY:16:14:09 | Server:N/A | Spread:0.0 | Pos:0 | Window:True
2026-04-24T17:15:38.756725,KILL_SWITCH_TRIGGERED,Drawdown o error critico
2026-04-24T17:15:38.779959,DEMO_EXECUTOR_STOPPED,Conexion MT5 cerrada
2026-04-24T17:15:40.533429,KILL_SWITCH_TRIGGERED,Drawdown o error critico
2026-04-24T17:15:40.536445,DEMO_EXECUTOR_STOPPED,Conexion MT5 cerrada
2026-04-24T17:15:40.868175,KILL_SWITCH_TRIGGERED,Drawdown o error critico
2026-04-24T17:15:40.871536,DEMO_EXECUTOR_STOPPED,Conexion MT5 cerrada
