pair,direction,entry_time,exit_time,entry_price,exit_price,units,gross_pnl_usd,net_pnl_usd,r_multiple,commission_usd,exit_reason,strategy_family,context_key,setup_tag
EURUSD,long,2022-01-03 11:20:00-05:00,2022-01-03 11:20:00-05:00,1.12965,1.1293552404577305,3392595,-999.9997493059313,-1153.2775469809453,-1.1532775469809453,153.27779767501391,stop_loss,fast_indicator_combo,,vwap_rsi7
EURUSD,short,2022-01-04 11:05:00-05:00,2022-01-04 11:05:00-05:00,1.13089,1.1311977119869283,3249792,-999.999953423891,-1147.0262444181594,-1.1470262444181594,147.0262909942685,stop_loss,fast_indicator_combo,,vwap_rsi7
EURUSD,long,2022-01-04 14:20:00-05:00,2022-01-04 14:20:00-05:00,1.12851,1.1286165038533005,5633598,599.9998949464233,345.68502778932435,0.34568502778932436,254.31486715709894,take_profit,fast_indicator_combo,,vwap_rsi7
EURUSD,short,2022-01-05 13:10:00-05:00,2022-01-05 13:15:00-05:00,1.13364,1.1338360205345515,5101506,-999.9999331375703,-1231.3507836098331,-1.2313507836098332,231.35085047226278,stop_loss,fast_indicator_combo,,vwap_rsi7
EURUSD,long,2022-01-05 15:35:00-05:00,2022-01-05 15:35:00-05:00,1.13112,1.1308630378189721,3891623,-999.9999338178551,-1176.0556381295787,-1.1760556381295788,176.05570431172367,stop_loss,fast_indicator_combo,,vwap_rsi7
EURUSD,long,2022-01-06 11:30:00-05:00,2022-01-06 11:30:00-05:00,1.13016,1.1303763660123611,2773078,599.999828826239,474.6269555304624,0.4746269555304624,125.37287329577654,take_profit,fast_indicator_combo,,vwap_rsi7
EURUSD,long,2022-01-06 14:00:00-05:00,2022-01-06 14:15:00-05:00,1.12931,1.129426980172838,5129074,599.9999630189456,368.29538066208517,0.36829538066208517,231.70458235686039,take_profit,fast_indicator_combo,,vwap_rsi7
EURUSD,short,2022-01-11 14:30:00-05:00,2022-01-11 14:30:00-05:00,1.13682,1.1367108453358412,5496787,599.9999389370631,350.05764304224186,0.35005764304224185,249.94229589482126,take_profit,fast_indicator_combo,,vwap_rsi7
EURUSD,short,2022-01-12 13:15:00-05:00,2022-01-12 13:20:00-05:00,1.14408,1.1439634085398385,5146174,599.999940905246,364.5065509072641,0.36450655090726414,235.49338999798192,take_profit,fast_indicator_combo,,vwap_rsi7
EURUSD,short,2022-01-12 15:10:00-05:00,2022-01-12 15:10:00-05:00,1.1446,1.1447634847304382,6116779,-999.9999659647118,-1280.070575700031,-1.280070575700031,280.0706097353193,stop_loss,fast_indicator_combo,,vwap_rsi7
