cost_profile,trades,pf,expectancy,total_return_pct,max_dd_pct
base,191,0.6311945674321046,-0.28394444748929565,-26.03520274729234,27.347849192268047
conservative,191,0.5872431897745304,-0.32070955369906345,-28.505973535181294,28.94329440931271
stress,191,0.5694511963135975,-0.3340187016775659,-29.346420462424682,29.768519396741983
