trade_id,entry_time,exit_time,direction,verdict,gross_r,net_r,comm_r
35,2015-03-02T20:00:00+00:00,2015-03-02T20:00:00.204000,SHORT,TP,1.4,0.9455,0.4545
36,2015-03-03T12:00:00+00:00,2015-03-03T13:02:14.202000,SHORT,SL,-1.0,-1.0385,0.0385
37,2015-03-04T14:03:00+00:00,2015-03-04T14:14:59.647000,SHORT,TP,1.4,1.3375,0.0625
38,2015-03-05T12:00:00+00:00,2015-03-05T12:27:58.221000,LONG,BE_STOP,0.0,-0.0667,0.0667
39,2015-03-06T13:30:00+00:00,2015-03-06T13:30:01.878000,SHORT,SL,-1.0,-1.0058,0.0058
40,2015-03-09T13:06:00+00:00,2015-03-09T13:44:03.586000,LONG,BE_STOP,0.0,-0.0515,0.0515
41,2015-03-10T11:12:00+00:00,2015-03-10T11:35:06.840000,SHORT,BE_STOP,0.0,-0.037,0.037
42,2015-03-11T15:27:00+00:00,2015-03-11T17:17:23.796000,LONG,SL,-1.0,-1.0138,0.0138
43,2015-03-12T13:12:00+00:00,2015-03-12T14:22:24.099000,SHORT,BE_STOP,0.0,-0.0145,0.0145
44,2015-03-13T13:39:00+00:00,2015-03-13T13:51:48.745000,SHORT,TP,1.4,1.3769,0.0231
45,2015-03-16T11:21:00+00:00,2015-03-16T12:04:08.785000,SHORT,BE_STOP,0.0,-0.0758,0.0758
46,2015-03-17T11:03:00+00:00,2015-03-17T11:48:25.715000,SHORT,BE_STOP,0.0,-0.0446,0.0446
47,2015-03-18T11:06:00+00:00,2015-03-18T11:43:01.349000,SHORT,TP,1.4,1.3153,0.0847
48,2015-03-19T17:12:00+00:00,2015-03-19T18:21:11.037000,LONG,SL,-1.0,-1.0231,0.0231
49,2015-03-20T12:00:00+00:00,2015-03-20T12:12:18.446000,LONG,BE_STOP,0.0,-0.0427,0.0427
50,2015-03-23T11:18:00+00:00,2015-03-23T12:10:54.935000,LONG,TP,1.4,1.3749,0.0251
51,2015-03-24T12:30:00+00:00,2015-03-24T23:44:53.558000,SHORT,TIME_EXIT,0.3857,0.3801,0.0057
52,2015-03-25T11:00:00+00:00,2015-03-25T11:20:33.028000,LONG,BE_STOP,0.0,-0.0394,0.0394
53,2015-03-26T13:48:00+00:00,2015-03-26T17:17:42.113000,SHORT,TP,1.4,1.3879,0.0121
54,2015-03-27T12:15:00+00:00,2015-03-27T13:01:18.233000,LONG,BE_STOP,0.0,-0.023,0.023
55,2015-03-30T17:45:00+00:00,2015-03-30T18:03:36.775000,SHORT,BE_STOP,0.0,-0.045,0.045
