"relative_path","file_name","extension","size_bytes","last_write_time_source","last_write_time_copied","sha256_source","sha256_copy","hash_match","status","category_guess"
"CHATGPT/deep-research-report.md","deep-research-report.md",".md","21712","2026-05-14T11:39:42.0811472-03:00","2026-05-14T11:39:42.0811472-03:00","4888684619bc2df0a7a42d1177fe203a37df5e132ca211967c2310924f87b4e9","4888684619bc2df0a7a42d1177fe203a37df5e132ca211967c2310924f87b4e9","True","OK","research_process"
"CHATGPT/Nuevo Documento de Microsoft Word.docx","Nuevo Documento de Microsoft Word.docx",".docx","24666","2026-05-14T11:40:48.7059163-03:00","2026-05-14T11:40:48.7059163-03:00","ab0306eb3888747b1caa90fe812ed4063fdb1c5196245ce284627b813687b0f9","ab0306eb3888747b1caa90fe812ed4063fdb1c5196245ce284627b813687b0f9","True","OK","unknown"
"CLAUDE/Investigacion profunta.pdf","Investigacion profunta.pdf",".pdf","13134720","2026-05-14T11:06:04.2107991-03:00","2026-05-14T11:06:04.2107991-03:00","cecee5e1537336a6142a522bc2c82826394e82495aabffe78fb6550b44f5f78c","cecee5e1537336a6142a522bc2c82826394e82495aabffe78fb6550b44f5f78c","True","OK","research_process"
"GEMINI/Evaluación Profesional de Trading Algorítmico.pdf","Evaluación Profesional de Trading Algorítmico.pdf",".pdf","316205","2026-05-14T11:17:09.8386795-03:00","2026-05-14T11:17:09.8386795-03:00","2661550ec6c456869e752bd9e18af491b5dc84f046d7f435dc5e24e32e86361f","2661550ec6c456869e752bd9e18af491b5dc84f046d7f435dc5e24e32e86361f","True","OK","quant_career"
"GORK/auditoria.docx","auditoria.docx",".docx","25053","2026-05-14T12:31:16.4688196-03:00","2026-05-14T12:31:16.4688196-03:00","c0a02988167edc46fa8af4d50540537c944ae05a1eb1d2e4f939e21545772eb3","c0a02988167edc46fa8af4d50540537c944ae05a1eb1d2e4f939e21545772eb3","True","OK","research_process"
"GORK/Nuevo Documento de Microsoft Word (2).docx","Nuevo Documento de Microsoft Word (2).docx",".docx","20954","2026-05-14T11:50:31.3017273-03:00","2026-05-14T11:50:31.3017273-03:00","7a7ebf9d1945f2104f7c44ea47387741494863a75711c201de1462b906028dc0","7a7ebf9d1945f2104f7c44ea47387741494863a75711c201de1462b906028dc0","True","OK","unknown"
"GORK/Nuevo Documento de Microsoft Word (3).docx","Nuevo Documento de Microsoft Word (3).docx",".docx","20017","2026-05-14T11:53:08.3929782-03:00","2026-05-14T11:53:08.3929782-03:00","9b0cee4f290f73a48ad78d2063ca72505cc16d0eefc5e94833c13abfdf4a64c9","9b0cee4f290f73a48ad78d2063ca72505cc16d0eefc5e94833c13abfdf4a64c9","True","OK","unknown"
"GORK/Nuevo Documento de Microsoft Word (4).docx","Nuevo Documento de Microsoft Word (4).docx",".docx","24357","2026-05-14T12:05:04.5177051-03:00","2026-05-14T12:05:04.5177051-03:00","56fb6287d69f22d82947dcaffe8d8be513c35eba78806843f56ffbbf92109355","56fb6287d69f22d82947dcaffe8d8be513c35eba78806843f56ffbbf92109355","True","OK","unknown"
"GORK/Nuevo Documento de Microsoft Word.docx","Nuevo Documento de Microsoft Word.docx",".docx","21358","2026-05-14T11:18:58.0087673-03:00","2026-05-14T11:18:58.0087673-03:00","fbf9e26a6f753cfa8ba0e4006c5c9f32b9b6895ee2ea5c47bf060d844a26a331","fbf9e26a6f753cfa8ba0e4006c5c9f32b9b6895ee2ea5c47bf060d844a26a331","True","OK","unknown"
"MANUS/Análisis Comparativo_ Repositorio vs. Estándares Profesionales.md","Análisis Comparativo_ Repositorio vs. Estándares Profesionales.md",".md","2055","2026-05-14T10:58:40.0356890-03:00","2026-05-14T10:58:40.0356890-03:00","b0d1ba7fa3f0b284170e5945273bec8fba43b962412411e29fc438e3d654e9af","b0d1ba7fa3f0b284170e5945273bec8fba43b962412411e29fc438e3d654e9af","True","OK","quant_career"
