pair,direction,entry_time,exit_time,entry_price,exit_price,units,gross_pnl_usd,net_pnl_usd,r_multiple,commission_usd,exit_reason,strategy_family,context_key,setup_tag,context_trades_before,context_win_rate_before,context_expectancy_before
USDJPY,long,2020-02-14 13:25:00-05:00,2020-02-14 13:30:00-05:00,109.7315,109.73710398240779,2000000,102.12268624676744,22.122686246767444,0.10665663137017384,80.0,take_profit,usdjp_session_playbook,core_reversion|fri|core|balanced|deep|long,core_reversion,0,0.0,0.0
USDJPY,long,2020-04-08 12:20:00-04:00,2020-04-08 12:25:00-04:00,108.7255,108.68891049948532,2000000,-673.2570429771594,-753.2570429771594,-1.2374977592556846,80.0,stop_loss,usdjp_session_playbook,core_reversion|wed_thu|early|balanced|deep|long,core_reversion,0,0.0,0.0
USDJPY,short,2020-04-22 12:20:00-04:00,2020-04-22 12:35:00-04:00,107.8485,107.83051100603872,1985000,331.2198817633654,251.8198817633654,0.5093868361898044,79.4,take_profit,usdjp_session_playbook,core_reversion|wed_thu|early|balanced|deep|short,core_reversion,0,0.0,0.0
USDJPY,long,2020-05-28 12:40:00-04:00,2020-05-28 13:00:00-04:00,107.66250000000001,107.63978928513075,1990000,-419.9435289893356,-499.54352898933564,-1.4067698196212486,79.60000000000001,stop_loss,usdjp_session_playbook,core_reversion|wed_thu|core|balanced|deep|long,core_reversion,0,0.0,0.0
USDJPY,short,2020-12-23 13:40:00-05:00,2020-12-23 13:50:00-05:00,103.5955,103.61573509735425,1980000,-386.6616427624791,-465.86164276247916,-1.4565850619051235,79.2,stop_loss,usdjp_session_playbook,core_reversion|wed_thu|core|balanced|deep|short,core_reversion,0,0.0,0.0
USDJPY,long,2021-06-10 13:05:00-04:00,2021-06-10 13:10:00-04:00,109.4585,109.43532698308753,1971000,-417.3773093042232,-496.21730930422325,-1.4007666588014667,78.84,stop_loss,usdjp_session_playbook,core_reversion|wed_thu|core|balanced|deep|long,core_reversion,1,0.0,-1.4067698196212486
USDJPY,short,2021-07-12 12:00:00-04:00,2021-07-12 12:05:00-04:00,110.3565,110.38013908453546,1961000,-420.0190706827062,-498.4590706827062,-1.392950495907942,78.44000000000001,stop_loss,usdjp_session_playbook,core_reversion|mon_tue|early|balanced|deep|short,core_reversion,0,0.0,0.0
USDJPY,short,2021-08-20 13:55:00-04:00,2021-08-20 14:00:00-04:00,109.8245,109.81989432794472,1951000,81.81505959123126,3.775059591231255,0.020973966762247033,78.04,take_profit,usdjp_session_playbook,core_reversion|fri|core|balanced|deep|short,core_reversion,0,0.0,0.0
USDJPY,long,2021-08-27 12:20:00-04:00,2021-08-27 12:25:00-04:00,109.8685,109.84048581948409,1951000,-497.57081511713085,-575.6108151171309,-1.3222622801235748,78.04,stop_loss,usdjp_session_playbook,core_reversion|fri|early|balanced|deep|long,core_reversion,0,0.0,0.0
USDJPY,long,2021-10-04 13:00:00-04:00,2021-10-04 13:10:00-04:00,110.8695,110.88625943875715,1939000,293.03628399681384,215.47628399681383,0.48654802264740693,77.56,take_profit,usdjp_session_playbook,core_reversion|mon_tue|core|balanced|deep|long,core_reversion,0,0.0,0.0
USDJPY,long,2021-12-08 13:45:00-05:00,2021-12-08 13:55:00-05:00,113.6575,113.66995462576013,1944000,212.95014360703513,135.19014360703514,0.39634305146606175,77.76,take_profit,usdjp_session_playbook,core_reversion|wed_thu|core|balanced|deep|long,core_reversion,2,0.0,-1.4037682392113577
