family_id,config_id,signal_time,side,entry_reference,stop_reference,target_r,reason,month,phase
F01,F01_REAL_PRE_0001,2022-05-02 03:15:00,buy,1.0518,1.05173,2.0,LONDON_BREAKOUT_CANDIDATE,2022-05,TRAIN
F01,F01_REAL_PRE_0001,2022-05-02 03:30:00,buy,1.0524,1.05179,2.0,LONDON_BREAKOUT_CANDIDATE,2022-05,TRAIN
F01,F01_REAL_PRE_0001,2022-05-02 03:45:00,buy,1.05239,1.05232,2.0,LONDON_BREAKOUT_CANDIDATE,2022-05,TRAIN
F01,F01_REAL_PRE_0001,2022-05-03 03:15:00,buy,1.05169,1.05122,2.0,LONDON_BREAKOUT_CANDIDATE,2022-05,TRAIN
F01,F01_REAL_PRE_0001,2022-05-03 03:30:00,buy,1.05141,1.05137,2.0,LONDON_BREAKOUT_CANDIDATE,2022-05,TRAIN
F01,F01_REAL_PRE_0001,2022-05-03 03:45:00,buy,1.05184,1.0514,2.0,LONDON_BREAKOUT_CANDIDATE,2022-05,TRAIN
F01,F01_REAL_PRE_0001,2022-05-04 03:15:00,buy,1.05179,1.05163,2.0,LONDON_BREAKOUT_CANDIDATE,2022-05,TRAIN
F01,F01_REAL_PRE_0001,2022-05-04 03:30:00,buy,1.0517,1.05139,2.0,LONDON_BREAKOUT_CANDIDATE,2022-05,TRAIN
F01,F01_REAL_PRE_0001,2022-05-04 03:45:00,buy,1.05161,1.05156,2.0,LONDON_BREAKOUT_CANDIDATE,2022-05,TRAIN
F01,F01_REAL_PRE_0001,2022-05-05 03:15:00,buy,1.06225,1.06207,2.0,LONDON_BREAKOUT_CANDIDATE,2022-05,TRAIN
F01,F01_REAL_PRE_0001,2022-05-05 03:30:00,buy,1.06222,1.0622,2.0,LONDON_BREAKOUT_CANDIDATE,2022-05,TRAIN
F01,F01_REAL_PRE_0001,2022-05-05 03:45:00,buy,1.06176,1.0615,2.0,LONDON_BREAKOUT_CANDIDATE,2022-05,TRAIN
F01,F01_REAL_PRE_0001,2022-05-06 03:15:00,buy,1.05349,1.0532,2.0,LONDON_BREAKOUT_CANDIDATE,2022-05,TRAIN
F01,F01_REAL_PRE_0001,2022-05-06 03:30:00,buy,1.05361,1.05348,2.0,LONDON_BREAKOUT_CANDIDATE,2022-05,TRAIN
F01,F01_REAL_PRE_0001,2022-05-06 03:45:00,buy,1.0533,1.05325,2.0,LONDON_BREAKOUT_CANDIDATE,2022-05,TRAIN
F01,F01_REAL_PRE_0002,2022-05-02 03:15:00,buy,1.0518,1.05173,2.0,LONDON_BREAKOUT_CANDIDATE,2022-05,TRAIN
F01,F01_REAL_PRE_0002,2022-05-02 03:30:00,buy,1.0524,1.05179,2.0,LONDON_BREAKOUT_CANDIDATE,2022-05,TRAIN
F01,F01_REAL_PRE_0002,2022-05-02 03:45:00,buy,1.05239,1.05232,2.0,LONDON_BREAKOUT_CANDIDATE,2022-05,TRAIN
F01,F01_REAL_PRE_0002,2022-05-03 03:15:00,buy,1.05169,1.05122,2.0,LONDON_BREAKOUT_CANDIDATE,2022-05,TRAIN
F01,F01_REAL_PRE_0002,2022-05-03 03:30:00,buy,1.05141,1.05137,2.0,LONDON_BREAKOUT_CANDIDATE,2022-05,TRAIN
F01,F01_REAL_PRE_0002,2022-05-03 03:45:00,buy,1.05184,1.0514,2.0,LONDON_BREAKOUT_CANDIDATE,2022-05,TRAIN
F01,F01_REAL_PRE_0002,2022-05-04 03:15:00,buy,1.05179,1.05163,2.0,LONDON_BREAKOUT_CANDIDATE,2022-05,TRAIN
F01,F01_REAL_PRE_0002,2022-05-04 03:30:00,buy,1.0517,1.05139,2.0,LONDON_BREAKOUT_CANDIDATE,2022-05,TRAIN
F01,F01_REAL_PRE_0002,2022-05-04 03:45:00,buy,1.05161,1.05156,2.0,LONDON_BREAKOUT_CANDIDATE,2022-05,TRAIN
F01,F01_REAL_PRE_0002,2022-05-05 03:15:00,buy,1.06225,1.06207,2.0,LONDON_BREAKOUT_CANDIDATE,2022-05,TRAIN
F01,F01_REAL_PRE_0002,2022-05-05 03:30:00,buy,1.06222,1.0622,2.0,LONDON_BREAKOUT_CANDIDATE,2022-05,TRAIN
F01,F01_REAL_PRE_0002,2022-05-05 03:45:00,buy,1.06176,1.0615,2.0,LONDON_BREAKOUT_CANDIDATE,2022-05,TRAIN
F01,F01_REAL_PRE_0002,2022-05-06 03:15:00,buy,1.05349,1.0532,2.0,LONDON_BREAKOUT_CANDIDATE,2022-05,TRAIN
F01,F01_REAL_PRE_0002,2022-05-06 03:30:00,buy,1.05361,1.05348,2.0,LONDON_BREAKOUT_CANDIDATE,2022-05,TRAIN
F01,F01_REAL_PRE_0002,2022-05-06 03:45:00,buy,1.0533,1.05325,2.0,LONDON_BREAKOUT_CANDIDATE,2022-05,TRAIN
F01,F01_REAL_PRE_0003,2022-05-02 03:15:00,buy,1.0518,1.05173,2.0,LONDON_BREAKOUT_CANDIDATE,2022-05,TRAIN
F01,F01_REAL_PRE_0003,2022-05-02 03:30:00,buy,1.0524,1.05179,2.0,LONDON_BREAKOUT_CANDIDATE,2022-05,TRAIN
F01,F01_REAL_PRE_0003,2022-05-02 03:45:00,buy,1.05239,1.05232,2.0,LONDON_BREAKOUT_CANDIDATE,2022-05,TRAIN
F01,F01_REAL_PRE_0003,2022-05-03 03:15:00,buy,1.05169,1.05122,2.0,LONDON_BREAKOUT_CANDIDATE,2022-05,TRAIN
F01,F01_REAL_PRE_0003,2022-05-03 03:30:00,buy,1.05141,1.05137,2.0,LONDON_BREAKOUT_CANDIDATE,2022-05,TRAIN
F01,F01_REAL_PRE_0003,2022-05-03 03:45:00,buy,1.05184,1.0514,2.0,LONDON_BREAKOUT_CANDIDATE,2022-05,TRAIN
F01,F01_REAL_PRE_0003,2022-05-04 03:15:00,buy,1.05179,1.05163,2.0,LONDON_BREAKOUT_CANDIDATE,2022-05,TRAIN
F01,F01_REAL_PRE_0003,2022-05-04 03:30:00,buy,1.0517,1.05139,2.0,LONDON_BREAKOUT_CANDIDATE,2022-05,TRAIN
F01,F01_REAL_PRE_0003,2022-05-04 03:45:00,buy,1.05161,1.05156,2.0,LONDON_BREAKOUT_CANDIDATE,2022-05,TRAIN
