trade_id,entry_time,side,entry_price,sl,tp,outcome,exit_price,exit_time,pnl_r
N/A,2015-07-01T13:27:00+00:00,SHORT,1.10852,1.10852,1.1059159999999997,SL,1.10852,2015-07-01T13:27:00.205000+00:00,-1.0
N/A,2015-07-02T14:00:00+00:00,SHORT,1.10979,1.10979,1.1119740000000005,TP,1.1119740000000005,2015-07-02T14:00:00.205000+00:00,1.4
N/A,2015-07-03T13:06:00+00:00,SHORT,1.10941,1.10941,1.1104460000000005,TP,1.1104460000000005,2015-07-03T13:06:00.874000+00:00,1.4
N/A,2015-07-07T19:06:00+00:00,SHORT,1.09843,1.09843,1.0998300000000003,TP,1.0998300000000003,2015-07-07T19:06:00.406000+00:00,1.4
N/A,2015-07-08T13:03:00+00:00,SHORT,1.10313,1.1074400000000002,1.0970959999999996,BE,1.10313,2015-07-08T13:05:58.204000+00:00,0.0
N/A,2015-07-09T14:06:00+00:00,SHORT,1.10543,1.10543,1.1037219999999996,SL,1.10543,2015-07-09T14:06:00.206000+00:00,-1.0
N/A,2015-07-10T11:21:00+00:00,SHORT,1.11905,1.11905,1.115382,SL,1.11905,2015-07-10T11:21:01.080000+00:00,-1.0
N/A,2015-07-13T13:00:00+00:00,SHORT,1.10464,1.10464,1.1026239999999998,SL,1.10464,2015-07-13T13:00:01.519000+00:00,-1.0
N/A,2015-07-15T12:30:00+00:00,SHORT,1.09797,1.09797,1.0927479999999996,SL,1.09797,2015-07-15T12:30:00.009000+00:00,-1.0
N/A,2015-07-16T11:27:00+00:00,SHORT,1.08834,1.08834,1.0863519999999998,SL,1.08834,2015-07-16T11:27:00.045000+00:00,-1.0
N/A,2015-07-17T13:00:00+00:00,SHORT,1.08604,1.08604,1.0843459999999994,SL,1.08604,2015-07-17T13:00:00.164000+00:00,-1.0
N/A,2015-07-20T14:00:00+00:00,SHORT,1.08435,1.08435,1.0857640000000002,TP,1.0857640000000002,2015-07-20T14:00:06.495000+00:00,1.4
N/A,2015-07-21T13:03:00+00:00,SHORT,1.08698,1.08698,1.0888700000000002,TP,1.0888700000000002,2015-07-21T13:03:00.284000+00:00,1.4
N/A,2015-07-22T16:30:00+00:00,SHORT,1.08878,1.08878,1.0915100000000006,TP,1.0915100000000006,2015-07-22T16:30:00.539000+00:00,1.4
N/A,2015-07-23T13:39:00+00:00,SHORT,1.09748,1.09748,1.1008680000000004,TP,1.1008680000000004,2015-07-23T13:39:00.650000+00:00,1.4
N/A,2015-07-24T11:00:00+00:00,SHORT,1.09589,1.09589,1.1007340000000003,TP,1.1007340000000003,2015-07-24T11:00:00.185000+00:00,1.4
N/A,2015-07-29T12:36:00+00:00,SHORT,1.10487,1.1025699999999998,1.1080900000000002,TP,1.1080900000000002,2015-07-29T12:36:00.627000+00:00,1.4
N/A,2015-07-30T11:15:00+00:00,SHORT,1.09563,1.09563,1.09409,SL,1.09563,2015-07-30T11:15:00.120000+00:00,-1.0
N/A,2015-07-31T11:03:00+00:00,SHORT,1.09722,1.09722,1.095764,SL,1.09722,2015-07-31T11:03:00.582000+00:00,-1.0
