trade_id,entry_time,exit_time,direction,verdict,gross_r,net_r,comm_r
2092,2024-02-01T14:00:00+00:00,2024-02-01T15:00:56.633000,SHORT,BE_STOP,0.0,-0.0352,0.0352
2093,2024-02-02T13:30:00+00:00,2024-02-02T21:59:59.800000,SHORT,TIME_EXIT,0.6616,0.6532,0.0084
2094,2024-02-05T15:00:00+00:00,2024-02-05T15:51:18.043000,SHORT,BE_STOP,0.0,-0.04,0.04
2095,2024-02-06T12:24:00+00:00,2024-02-06T19:00:00.427000,SHORT,SL,-1.0,-1.0439,0.0439
2096,2024-02-07T12:15:00+00:00,2024-02-07T13:05:02.568000,SHORT,SL,-1.0,-1.0532,0.0532
2097,2024-02-08T13:30:00+00:00,2024-02-08T14:16:05.396000,SHORT,BE_STOP,0.0,-0.0413,0.0413
2098,2024-02-09T12:30:00+00:00,2024-02-09T13:31:06.247000,SHORT,SL,-1.0,-1.0463,0.0463
2099,2024-02-12T17:03:00+00:00,2024-02-12T19:26:23.791000,LONG,BE_STOP,0.0,-0.0833,0.0833
2100,2024-02-13T12:30:00+00:00,2024-02-13T13:15:49.664000,LONG,TP,1.4,1.3375,0.0625
2101,2024-02-14T15:21:00+00:00,2024-02-15T00:44:48.039000,LONG,TIME_EXIT,0.7458,0.7034,0.0424
2102,2024-02-15T12:09:00+00:00,2024-02-15T12:30:53.556000,LONG,TP,1.4,1.2864,0.1136
2103,2024-02-16T12:36:00+00:00,2024-02-16T13:30:01.586000,SHORT,TP,1.4,1.3398,0.0602
2104,2024-02-19T13:00:00+00:00,2024-02-19T17:06:00.232000,SHORT,BE_STOP,0.0,-0.0658,0.0658
2105,2024-02-20T14:00:00+00:00,2024-02-20T14:00:00.005000,LONG,TP,1.4,1.1727,0.2273
2106,2024-02-23T12:24:00+00:00,2024-02-23T13:01:02.162000,LONG,BE_STOP,0.0,-0.05,0.05
2107,2024-02-26T12:57:00+00:00,2024-02-26T14:25:35.056000,SHORT,BE_STOP,0.0,-0.045,0.045
2108,2024-02-27T14:12:00+00:00,2024-02-27T15:00:01.230000,SHORT,BE_STOP,0.0,-0.0521,0.0521
2109,2024-02-28T14:12:00+00:00,2024-02-28T15:16:21.827000,SHORT,SL,-1.0,-1.0394,0.0394
2110,2024-02-29T13:00:00+00:00,2024-02-29T14:11:24.379000,SHORT,SL,-1.0,-1.0211,0.0211
