pair,year,trades,wins,losses,win_rate,total_pnl_r,total_pnl_usd,avg_pnl_r,max_drawdown_pct,profit_factor
EURUSD,2020,23,13,10,56.52173913043478,-5.91306257472531,-5913.062574725311,-0.25708967716197,6.6157981618409165,0.39448913684024833
EURUSD,2021,16,4,12,25.0,-7.2451988650293675,-7245.198865029368,-0.45282492906433547,7.413284646814736,0.1047857487942349
