trade_id,entry_time,side,outcome,pnl_base,pnl_net_ftmo,commission_r
N/A,2017-05-01T14:48:00+00:00,SHORT,SL,-1.0,-1.0,0.0
N/A,2017-05-02T12:12:00+00:00,SHORT,TP,1.4,1.36,0.04
N/A,2017-05-03T14:21:00+00:00,SHORT,TP,1.4,1.4,0.0
N/A,2017-05-04T14:00:00+00:00,SHORT,TP,1.4,1.4,0.0
N/A,2017-05-05T13:00:00+00:00,SHORT,SL,-1.0,-1.0223,0.0223
N/A,2017-05-08T12:45:00+00:00,SHORT,TP,1.4,1.3744,0.0256
N/A,2017-05-09T18:09:00+00:00,SHORT,SL,-1.0,-1.0,0.0
N/A,2017-05-10T18:33:00+00:00,SHORT,TP,1.4,1.4,0.0
N/A,2017-05-12T11:45:00+00:00,SHORT,SL,-1.0,-1.0769,0.0769
N/A,2017-05-15T12:30:00+00:00,SHORT,TP,1.4,1.4,0.0
N/A,2017-05-16T11:36:00+00:00,SHORT,SL,-1.0,-1.0,0.0
N/A,2017-05-17T13:48:00+00:00,SHORT,TP,1.4,1.4,0.0
N/A,2017-05-18T17:15:00+00:00,SHORT,SL,-1.0,-1.0,0.0
N/A,2017-05-19T11:09:00+00:00,SHORT,TP,1.4,1.4,0.0
N/A,2017-05-22T13:51:00+00:00,SHORT,TP,1.4,1.3708,0.0292
N/A,2017-05-23T19:42:00+00:00,SHORT,TP,1.4,1.4,0.0
N/A,2017-05-24T13:27:00+00:00,SHORT,SL,-1.0,-1.0,0.0
N/A,2017-05-26T15:42:00+00:00,SHORT,SL,-1.0,-1.0,0.0
N/A,2017-05-29T12:00:00+00:00,SHORT,SL,-1.0,-1.0,0.0
N/A,2017-05-30T11:00:00+00:00,SHORT,SL,-1.0,-1.0113,0.0113
