trade_id,entry_time,side,outcome,pnl_base,pnl_net_ftmo,commission_r
N/A,2017-06-01T11:15:00+00:00,SHORT,SL,-1.0,-1.0,0.0
N/A,2017-06-02T11:12:00+00:00,SHORT,SL,-1.0,-1.0,0.0
N/A,2017-06-05T17:00:00+00:00,SHORT,TP,1.4,1.4,0.0
N/A,2017-06-06T18:33:00+00:00,SHORT,TIME_EXIT,-0.1739,-0.2174,0.0435
N/A,2017-06-07T11:36:00+00:00,SHORT,TP,1.4,1.4,0.0
N/A,2017-06-09T12:03:00+00:00,SHORT,SL,-1.0,-1.0,0.0
N/A,2017-06-12T11:39:00+00:00,SHORT,SL,-1.0,-1.0,0.0
N/A,2017-06-14T11:00:00+00:00,SHORT,SL,-1.0,-1.0,0.0
N/A,2017-06-15T13:06:00+00:00,SHORT,SL,-1.0,-1.0,0.0
N/A,2017-06-16T14:00:00+00:00,SHORT,TP,1.4,1.4,0.0
N/A,2017-06-19T13:06:00+00:00,SHORT,SL,-1.0,-1.0,0.0
N/A,2017-06-20T13:09:00+00:00,SHORT,SL,-1.0,-1.0,0.0
N/A,2017-06-21T11:24:00+00:00,SHORT,SL,-1.0,-1.0,0.0
N/A,2017-06-22T15:27:00+00:00,SHORT,SL,-1.0,-1.0,0.0
N/A,2017-06-23T13:18:00+00:00,SHORT,TP,1.4,1.4,0.0
N/A,2017-06-26T12:12:00+00:00,SHORT,TP,1.4,1.4,0.0
N/A,2017-06-27T15:09:00+00:00,SHORT,TP,1.4,1.4,0.0
N/A,2017-06-28T12:15:00+00:00,SHORT,SL,-1.0,-1.0062,0.0062
N/A,2017-06-29T11:54:00+00:00,SHORT,TP,1.4,1.4,0.0
