pair,year,trades,wins,losses,net_pnl_usd,profit_factor
USDJPY,2022,26,13,13,-2969.09755770923,0.5538906016985323
USDJPY,2023,19,9,10,-3019.9740079368257,0.4040986553502097
USDJPY,2024,11,5,6,-495.54804916009175,0.8105030537077873
USDJPY,2025,12,7,5,-146.0255315578239,0.9451059611291531
