pair,direction,entry_time,exit_time,entry_price,exit_price,units,gross_pnl_usd,net_pnl_usd,r_multiple,commission_usd,exit_reason,strategy_family,context_key,setup_tag
EURUSD,short,2020-01-02 11:20:00-05:00,2020-01-02 11:20:00-05:00,1.11872,1.1185518964573595,3569228,599.9998712913368,440.29320136236265,0.44029320136236266,159.70666992897418,take_profit,fast_indicator_combo,,bb_rsi2
EURUSD,long,2020-01-05 17:10:00-05:00,2020-01-05 17:10:00-05:00,1.11665,1.1165173412342064,7538137,-999.9999508022556,-1336.6783780452397,-1.3366783780452396,336.67842724298396,stop_loss,fast_indicator_combo,,bb_rsi2
EURUSD,short,2020-01-05 17:25:00-05:00,2020-01-05 18:00:00-05:00,1.11601,1.1159282059821176,7335499,599.9999363818185,272.5523268209462,0.27255232682094616,327.44760956087237,take_profit,fast_indicator_combo,,bb_rsi2
EURUSD,short,2020-01-06 17:10:00-05:00,2020-01-06 17:10:00-05:00,1.11948,1.1195605339088635,12417129,-999.9999352313631,-1556.0490381468678,-1.556049038146868,556.0491029155047,stop_loss,fast_indicator_combo,,bb_rsi2
EURUSD,short,2020-01-07 17:15:00-05:00,2020-01-07 17:20:00-05:00,1.11481,1.114908666522433,10135149,-999.999906169844,-1451.9705244355675,-1.4519705244355676,451.9706182657235,stop_loss,fast_indicator_combo,,bb_rsi2
EURUSD,long,2020-01-08 14:40:00-05:00,2020-01-08 14:45:00-05:00,1.11117,1.1110451100363457,8007048,-999.9999336985551,-1355.8675947462812,-1.355867594746281,355.8676610477261,stop_loss,fast_indicator_combo,,bb_rsi2
EURUSD,short,2020-01-08 16:05:00-05:00,2020-01-08 16:05:00-05:00,1.11116,1.1111014198227764,10242372,599.9999669488953,144.77540408743437,0.14477540408743436,455.224562861461,take_profit,fast_indicator_combo,,bb_rsi2
EURUSD,long,2020-01-08 17:15:00-05:00,2020-01-08 17:25:00-05:00,1.1107099999999999,1.1107656365792677,10784271,599.9999483378152,120.86004264244849,0.12086004264244848,479.13990569536674,take_profit,fast_indicator_combo,,bb_rsi2
EURUSD,short,2020-01-09 14:45:00-05:00,2020-01-09 14:45:00-05:00,1.11072,1.1108182716945174,10175870,-999.9999880896115,-1452.1216811453733,-1.4521216811453732,452.1216930557618,stop_loss,fast_indicator_combo,,bb_rsi2
EURUSD,short,2020-01-10 12:45:00-05:00,2020-01-10 12:50:00-05:00,1.11221,1.1121128193534804,6174068,599.9999198955701,325.337513082768,0.325337513082768,274.6624068128021,take_profit,fast_indicator_combo,,bb_rsi2
EURUSD,short,2020-01-10 15:10:00-05:00,2020-01-10 15:10:00-05:00,1.11196,1.1120429242454533,12059199,-999.9999778449544,-1536.3938546461113,-1.5363938546461113,536.3938768011569,stop_loss,fast_indicator_combo,,bb_rsi2
EURUSD,long,2020-01-12 17:20:00-05:00,2020-01-12 17:20:00-05:00,1.11206,1.1119803564389823,12555942,-999.9999328123348,-1558.4983672344788,-1.5584983672344788,558.4984344221439,stop_loss,fast_indicator_combo,,bb_rsi2
EURUSD,short,2020-01-13 11:50:00-05:00,2020-01-13 11:50:00-05:00,1.11387,1.1140454751031639,5698814,-999.9999745622074,-1253.9294925688987,-1.2539294925688986,253.92951800669124,stop_loss,fast_indicator_combo,,bb_rsi2
EURUSD,long,2020-01-13 17:05:00-05:00,2020-01-13 17:05:00-05:00,1.11341,1.113338922653324,14069180,-999.9999843085541,-1626.570612460868,-1.626570612460868,626.5706281523139,stop_loss,fast_indicator_combo,,bb_rsi2
EURUSD,short,2020-01-14 14:00:00-05:00,2020-01-14 14:00:00-05:00,1.11303,1.113124785462294,10550141,-999.9999919532924,-1469.7249294423314,-1.4697249294423314,469.7249374890391,stop_loss,fast_indicator_combo,,bb_rsi2
EURUSD,long,2020-01-17 11:05:00-05:00,2020-01-17 11:05:00-05:00,1.10941,1.1092157143025045,5147059,-999.9999478653185,-1228.3878968739612,-1.2283878968739612,228.3879490086427,stop_loss,fast_indicator_combo,,bb_rsi2
EURUSD,short,2020-01-17 15:10:00-05:00,2020-01-17 15:20:00-05:00,1.10923,1.1093055322659928,13239375,-999.999994079534,-1587.4404713294157,-1.5874404713294157,587.4404772498816,stop_loss,fast_indicator_combo,,bb_rsi2
EURUSD,long,2020-01-20 11:05:00-05:00,2020-01-20 11:05:00-05:00,1.10831,1.1081976530448572,8900997,-999.9999106845572,-1394.5824700891435,-1.3945824700891436,394.58255940458633,stop_loss,fast_indicator_combo,,bb_rsi2
EURUSD,long,2020-01-21 11:05:00-05:00,2020-01-21 11:05:00-05:00,1.10979,1.109629298579651,6222720,-999.999942434591,-1276.2164395877423,-1.2762164395877424,276.21649715315135,stop_loss,fast_indicator_combo,,bb_rsi2
EURUSD,short,2020-01-21 15:15:00-05:00,2020-01-21 15:15:00-05:00,1.10925,1.1092012224989687,12300753,599.9999921442862,54.22758153412906,0.05422758153412906,545.7724106101572,take_profit,fast_indicator_combo,,bb_rsi2
EURUSD,short,2020-01-22 17:10:00-05:00,2020-01-22 17:10:00-05:00,1.1092600000000001,1.1093292380691566,14442921,-999.9999630196544,-1640.8581449573148,-1.6408581449573147,640.8581819376604,stop_loss,fast_indicator_combo,,bb_rsi2
EURUSD,long,2020-01-23 17:15:00-05:00,2020-01-23 17:15:00-05:00,1.1056,1.1055001548386554,10015507,-999.9999123623311,-1442.905693932084,-1.442905693932084,442.9057815697528,stop_loss,fast_indicator_combo,,bb_rsi2
EURUSD,long,2020-01-26 17:10:00-05:00,2020-01-26 17:10:00-05:00,1.10309,1.1029786343764707,8979431,-999.9999322524517,-1396.1847539254068,-1.3961847539254069,396.18482167295497,stop_loss,fast_indicator_combo,,bb_rsi2
EURUSD,short,2020-01-27 14:25:00-05:00,2020-01-27 14:30:00-05:00,1.10148,1.101434511887468,13190259,599.9999857185117,18.85972638542603,0.018859726385426028,581.1402593330856,take_profit,fast_indicator_combo,,bb_rsi2
