pair,month,trades,wins,losses,net_pnl_usd,profit_factor
USDCHF,2020-11,1,1,0,74.76714264723535,inf
USDCHF,2021-09,1,0,1,-567.5194168407259,0.0
USDCHF,2021-10,1,0,1,-614.413824923389,0.0
