config_id,year_month,truncations,status
cfg_r1_factory_opt_001,2020-01,1,EXCLUDED_OK
cfg_r1_factory_opt_001,2020-02,0,NONE
cfg_r1_factory_opt_001,2020-03,1,EXCLUDED_OK
