family_id,config_id,signal_time_utc,signal_time_ny,engine_called,fill_created,rejection_reason,status
F06,F06_REAL_PRE_0001,2022-05-03 11:45:00,07:45,True,True,SIGNAL,ENGINE_ACCEPTED
F06,F06_REAL_PRE_0001,2022-05-04 08:30:00,04:30,True,False,BLOCKED_BY_SCHEDULE,ENGINE_REJECTED
F06,F06_REAL_PRE_0001,2022-05-04 09:15:00,05:15,True,False,BLOCKED_BY_SCHEDULE,ENGINE_REJECTED
F06,F06_REAL_PRE_0001,2022-05-06 08:30:00,04:30,True,False,BLOCKED_BY_SCHEDULE,ENGINE_REJECTED
F06,F06_REAL_PRE_0001,2022-05-09 09:45:00,05:45,True,False,BLOCKED_BY_SCHEDULE,ENGINE_REJECTED
F06,F06_REAL_PRE_0001,2022-05-09 10:00:00,06:00,True,False,BLOCKED_BY_SCHEDULE,ENGINE_REJECTED
F06,F06_REAL_PRE_0001,2022-05-09 10:45:00,06:45,True,False,BLOCKED_BY_SCHEDULE,ENGINE_REJECTED
F06,F06_REAL_PRE_0001,2022-05-11 08:45:00,04:45,True,False,BLOCKED_BY_SCHEDULE,ENGINE_REJECTED
F06,F06_REAL_PRE_0001,2022-05-11 09:00:00,05:00,True,False,BLOCKED_BY_SCHEDULE,ENGINE_REJECTED
F06,F06_REAL_PRE_0002,2022-05-03 11:45:00,07:45,True,True,SIGNAL,ENGINE_ACCEPTED
F06,F06_REAL_PRE_0002,2022-05-04 08:30:00,04:30,True,False,BLOCKED_BY_SCHEDULE,ENGINE_REJECTED
F06,F06_REAL_PRE_0002,2022-05-04 09:15:00,05:15,True,False,BLOCKED_BY_SCHEDULE,ENGINE_REJECTED
F06,F06_REAL_PRE_0002,2022-05-06 08:30:00,04:30,True,False,BLOCKED_BY_SCHEDULE,ENGINE_REJECTED
F06,F06_REAL_PRE_0002,2022-05-09 09:45:00,05:45,True,False,BLOCKED_BY_SCHEDULE,ENGINE_REJECTED
F06,F06_REAL_PRE_0002,2022-05-09 10:00:00,06:00,True,False,BLOCKED_BY_SCHEDULE,ENGINE_REJECTED
F06,F06_REAL_PRE_0002,2022-05-09 10:45:00,06:45,True,False,BLOCKED_BY_SCHEDULE,ENGINE_REJECTED
F06,F06_REAL_PRE_0002,2022-05-11 08:45:00,04:45,True,False,BLOCKED_BY_SCHEDULE,ENGINE_REJECTED
F06,F06_REAL_PRE_0002,2022-05-11 09:00:00,05:00,True,False,BLOCKED_BY_SCHEDULE,ENGINE_REJECTED
F06,F06_REAL_PRE_0003,2022-05-03 11:45:00,07:45,True,True,SIGNAL,ENGINE_ACCEPTED
F06,F06_REAL_PRE_0003,2022-05-04 08:30:00,04:30,True,False,BLOCKED_BY_SCHEDULE,ENGINE_REJECTED
F06,F06_REAL_PRE_0003,2022-05-04 09:15:00,05:15,True,False,BLOCKED_BY_SCHEDULE,ENGINE_REJECTED
F06,F06_REAL_PRE_0003,2022-05-06 08:30:00,04:30,True,False,BLOCKED_BY_SCHEDULE,ENGINE_REJECTED
F06,F06_REAL_PRE_0003,2022-05-09 09:45:00,05:45,True,False,BLOCKED_BY_SCHEDULE,ENGINE_REJECTED
F06,F06_REAL_PRE_0003,2022-05-09 10:00:00,06:00,True,False,BLOCKED_BY_SCHEDULE,ENGINE_REJECTED
F06,F06_REAL_PRE_0003,2022-05-09 10:45:00,06:45,True,False,BLOCKED_BY_SCHEDULE,ENGINE_REJECTED
F06,F06_REAL_PRE_0003,2022-05-11 08:45:00,04:45,True,False,BLOCKED_BY_SCHEDULE,ENGINE_REJECTED
F06,F06_REAL_PRE_0003,2022-05-11 09:00:00,05:00,True,False,BLOCKED_BY_SCHEDULE,ENGINE_REJECTED
F08,F08_REAL_PRE_0001,2022-05-02 11:35:00,07:35,True,False,BLOCKED_BY_THROTTLER,ENGINE_REJECTED
F08,F08_REAL_PRE_0001,2022-05-03 09:55:00,05:55,True,False,BLOCKED_BY_SCHEDULE,ENGINE_REJECTED
F08,F08_REAL_PRE_0001,2022-05-03 11:30:00,07:30,True,False,BLOCKED_BY_THROTTLER,ENGINE_REJECTED
F08,F08_REAL_PRE_0002,2022-05-02 11:35:00,07:35,True,False,BLOCKED_BY_THROTTLER,ENGINE_REJECTED
F08,F08_REAL_PRE_0002,2022-05-03 09:55:00,05:55,True,False,BLOCKED_BY_SCHEDULE,ENGINE_REJECTED
F08,F08_REAL_PRE_0002,2022-05-03 11:30:00,07:30,True,False,BLOCKED_BY_THROTTLER,ENGINE_REJECTED
F08,F08_REAL_PRE_0003,2022-05-02 11:35:00,07:35,True,False,BLOCKED_BY_THROTTLER,ENGINE_REJECTED
F08,F08_REAL_PRE_0003,2022-05-03 09:55:00,05:55,True,False,BLOCKED_BY_SCHEDULE,ENGINE_REJECTED
F08,F08_REAL_PRE_0003,2022-05-03 11:30:00,07:30,True,False,BLOCKED_BY_THROTTLER,ENGINE_REJECTED
F12,F12_REAL_PRE_0001,2022-05-02 10:15:00,06:15,True,False,BLOCKED_BY_SCHEDULE,ENGINE_REJECTED
F12,F12_REAL_PRE_0001,2022-05-02 10:30:00,06:30,True,False,BLOCKED_BY_SCHEDULE,ENGINE_REJECTED
F12,F12_REAL_PRE_0001,2022-05-02 10:45:00,06:45,True,False,BLOCKED_BY_SCHEDULE,ENGINE_REJECTED
F12,F12_REAL_PRE_0001,2022-05-02 11:00:00,07:00,True,False,BLOCKED_BY_THROTTLER,ENGINE_REJECTED
F12,F12_REAL_PRE_0001,2022-05-05 11:45:00,07:45,True,True,SIGNAL,ENGINE_ACCEPTED
F12,F12_REAL_PRE_0001,2022-05-11 12:30:00,08:30,True,True,SIGNAL,ENGINE_ACCEPTED
F12,F12_REAL_PRE_0001,2022-05-11 12:45:00,08:45,True,True,SIGNAL,ENGINE_ACCEPTED
F12,F12_REAL_PRE_0001,2022-05-12 09:00:00,05:00,True,False,BLOCKED_BY_SCHEDULE,ENGINE_REJECTED
F12,F12_REAL_PRE_0001,2022-05-12 09:15:00,05:15,True,False,BLOCKED_BY_SCHEDULE,ENGINE_REJECTED
F12,F12_REAL_PRE_0001,2022-05-12 09:30:00,05:30,True,False,BLOCKED_BY_SCHEDULE,ENGINE_REJECTED
F12,F12_REAL_PRE_0001,2022-05-12 09:45:00,05:45,True,False,BLOCKED_BY_SCHEDULE,ENGINE_REJECTED
F12,F12_REAL_PRE_0001,2022-05-12 10:00:00,06:00,True,False,BLOCKED_BY_SCHEDULE,ENGINE_REJECTED
F12,F12_REAL_PRE_0001,2022-05-12 10:15:00,06:15,True,False,BLOCKED_BY_SCHEDULE,ENGINE_REJECTED
F12,F12_REAL_PRE_0001,2022-05-12 10:30:00,06:30,True,False,BLOCKED_BY_SCHEDULE,ENGINE_REJECTED
F12,F12_REAL_PRE_0001,2022-05-12 10:45:00,06:45,True,False,BLOCKED_BY_SCHEDULE,ENGINE_REJECTED
F12,F12_REAL_PRE_0001,2022-05-12 11:00:00,07:00,True,True,SIGNAL,ENGINE_ACCEPTED
F12,F12_REAL_PRE_0001,2022-05-12 11:15:00,07:15,True,True,SIGNAL,ENGINE_ACCEPTED
F12,F12_REAL_PRE_0001,2022-05-12 11:30:00,07:30,True,True,SIGNAL,ENGINE_ACCEPTED
F12,F12_REAL_PRE_0001,2022-05-12 11:45:00,07:45,True,False,BLOCKED_BY_THROTTLER,ENGINE_REJECTED
F12,F12_REAL_PRE_0001,2022-05-12 12:00:00,08:00,True,False,BLOCKED_BY_THROTTLER,ENGINE_REJECTED
F12,F12_REAL_PRE_0002,2022-05-02 10:15:00,06:15,True,False,BLOCKED_BY_SCHEDULE,ENGINE_REJECTED
F12,F12_REAL_PRE_0002,2022-05-02 10:30:00,06:30,True,False,BLOCKED_BY_SCHEDULE,ENGINE_REJECTED
F12,F12_REAL_PRE_0002,2022-05-02 10:45:00,06:45,True,False,BLOCKED_BY_SCHEDULE,ENGINE_REJECTED
F12,F12_REAL_PRE_0002,2022-05-02 11:00:00,07:00,True,False,BLOCKED_BY_THROTTLER,ENGINE_REJECTED
F12,F12_REAL_PRE_0002,2022-05-05 11:45:00,07:45,True,False,BLOCKED_BY_THROTTLER,ENGINE_REJECTED
F12,F12_REAL_PRE_0002,2022-05-11 12:30:00,08:30,True,False,BLOCKED_BY_THROTTLER,ENGINE_REJECTED
F12,F12_REAL_PRE_0002,2022-05-11 12:45:00,08:45,True,False,BLOCKED_BY_THROTTLER,ENGINE_REJECTED
F12,F12_REAL_PRE_0002,2022-05-12 09:00:00,05:00,True,False,BLOCKED_BY_SCHEDULE,ENGINE_REJECTED
F12,F12_REAL_PRE_0002,2022-05-12 09:15:00,05:15,True,False,BLOCKED_BY_SCHEDULE,ENGINE_REJECTED
F12,F12_REAL_PRE_0002,2022-05-12 09:30:00,05:30,True,False,BLOCKED_BY_SCHEDULE,ENGINE_REJECTED
F12,F12_REAL_PRE_0002,2022-05-12 09:45:00,05:45,True,False,BLOCKED_BY_SCHEDULE,ENGINE_REJECTED
F12,F12_REAL_PRE_0002,2022-05-12 10:00:00,06:00,True,False,BLOCKED_BY_SCHEDULE,ENGINE_REJECTED
F12,F12_REAL_PRE_0002,2022-05-12 10:15:00,06:15,True,False,BLOCKED_BY_SCHEDULE,ENGINE_REJECTED
F12,F12_REAL_PRE_0002,2022-05-12 10:30:00,06:30,True,False,BLOCKED_BY_SCHEDULE,ENGINE_REJECTED
F12,F12_REAL_PRE_0002,2022-05-12 10:45:00,06:45,True,False,BLOCKED_BY_SCHEDULE,ENGINE_REJECTED
F12,F12_REAL_PRE_0002,2022-05-12 11:00:00,07:00,True,False,BLOCKED_BY_THROTTLER,ENGINE_REJECTED
F12,F12_REAL_PRE_0002,2022-05-12 11:15:00,07:15,True,False,BLOCKED_BY_THROTTLER,ENGINE_REJECTED
F12,F12_REAL_PRE_0002,2022-05-12 11:30:00,07:30,True,False,BLOCKED_BY_THROTTLER,ENGINE_REJECTED
F12,F12_REAL_PRE_0002,2022-05-12 11:45:00,07:45,True,False,BLOCKED_BY_THROTTLER,ENGINE_REJECTED
F12,F12_REAL_PRE_0002,2022-05-12 12:00:00,08:00,True,False,BLOCKED_BY_THROTTLER,ENGINE_REJECTED
F12,F12_REAL_PRE_0003,2022-05-02 10:15:00,06:15,True,False,BLOCKED_BY_SCHEDULE,ENGINE_REJECTED
F12,F12_REAL_PRE_0003,2022-05-02 10:30:00,06:30,True,False,BLOCKED_BY_SCHEDULE,ENGINE_REJECTED
