pair,bars,coverage_ratio,missing_bars,max_missing_streak_bars,duplicate_timestamps,unexpected_schedule_bars,weekend_bars,zero_range_bars,nonpositive_prices,invalid_hilo_bars,outlier_return_bars,quality_score,quality_status
USDCAD,75455,1.0,0,0,0,0,0,546,0,0,23,96.11999999999999,warn
GBPUSD,75455,1.0,0,0,0,0,0,527,0,0,28,95.96499999999999,warn
EURUSD,75455,1.0,0,0,0,0,0,537,0,0,28,95.91499999999999,warn
GBPJPY,75455,1.0,0,0,0,0,0,563,0,0,28,95.785,warn
AUDUSD,75455,1.0,0,0,0,0,0,515,0,0,44,95.225,warn
USDJPY,75455,1.0,0,0,0,0,0,525,0,0,44,95.175,warn
USDCHF,75455,1.0,0,0,0,0,0,650,0,0,13,96.1,pass
