pair,month,trades,wins,losses,breakevens,win_rate,total_pnl_r,total_pnl_usd,avg_pnl_r,max_drawdown_pct,profit_factor
EURUSD,2015-01,7,3,4,0,42.857142857142854,0.336063538349616,152.69780182446482,0.048009076907088,0.5157224993528503,1.0745085765618978
EURUSD,2015-02,6,2,4,0,33.33333333333333,-0.39741894746239725,-213.06922728817688,-0.06623649124373288,1.0279648314351466,0.8960014888621555
EURUSD,2015-03,6,1,5,0,16.666666666666664,-3.1194839284524574,-1555.1149442607634,-0.5199139880754096,2.0089590230647403,0.38651464968900084
EURUSD,2015-04,4,0,4,0,0.0,-4.132894679868074,-2012.9198742477656,-1.0332236699670185,1.5032316062310422,0.0
EURUSD,2015-05,2,1,1,0,50.0,0.9661354452230082,459.5701484066308,0.4830677226115041,0.4887299264373655,1.9314591897102273
EURUSD,2015-06,4,2,2,0,50.0,1.8751409527353917,897.1412941682871,0.46878523818384793,0.509907453298907,1.9003199665966104
EURUSD,2015-07,6,3,3,0,50.0,1.7216031177508537,827.7673503631839,0.2869338529584756,0.5848556473587314,1.5555651647770712
EURUSD,2015-08,6,1,5,0,16.666666666666664,-3.1720006958336233,-1556.0348362874242,-0.5286667826389372,1.5156380329020023,0.3804155729963675
EURUSD,2015-09,6,4,2,0,66.66666666666666,4.847209542005973,2349.8272224099223,0.8078682570009955,0.9801044155449465,3.3747767584014836
EURUSD,2015-10,3,2,1,0,66.66666666666666,2.11486526863318,1042.6060629126569,0.7049550895443933,0.0,3.049932544304105
EURUSD,2015-11,4,1,3,0,25.0,-1.1438866620953507,-577.9893465341632,-0.2859716655238377,0.5144357968611173,0.6234925578200297
EURUSD,2015-12,3,1,2,0,33.33333333333333,-0.08500336647643358,-49.463193551823565,-0.028334455492144528,1.0206600556848018,0.9520089273955867
EURUSD,2016-01,6,2,4,0,33.33333333333333,-1.4759928696210332,-739.7285914974881,-0.24599881160350553,1.0290973902285154,0.6418460842100389
EURUSD,2016-02,13,3,10,0,23.076923076923077,-7.409818620350087,-3590.1512398368236,-0.5699860477192374,3.7137034458180755,0.27800180451403744
EURUSD,2016-03,6,4,2,0,66.66666666666666,5.1162434397651175,2431.7092591670375,0.852707239960853,0.4855449934336422,3.441165751147856
EURUSD,2016-04,5,1,4,0,20.0,-2.090187551028972,-1017.1080307896515,-0.4180375102057944,0.9817624262699741,0.4815959678436256
EURUSD,2016-05,3,1,2,0,33.33333333333333,-0.09357406345601116,-51.81358992530744,-0.031191354485337053,0.9893112934211478,0.9481178601362723
EURUSD,2016-06,8,2,6,0,25.0,-3.658823430896184,-1757.8799946116426,-0.457352928862023,1.7075571585075338,0.5150787445834689
EURUSD,2016-07,5,1,4,0,20.0,-2.6106574115797767,-1222.7286291757855,-0.5221314823159553,1.1620974391801484,0.2541681995477495
EURUSD,2016-08,3,0,3,0,0.0,-1.742491412669565,-804.9778073083896,-0.580830470889855,0.5725441213297799,0.0
EURUSD,2016-09,5,0,5,0,0.0,-4.507276683585605,-2049.731061475167,-0.901455336717121,1.552431448834301,0.0
EURUSD,2016-10,7,3,4,0,42.857142857142854,0.5871806809949167,249.61121890249245,0.08388295442784524,0.9205818416056228,1.1348024896173843
EURUSD,2016-11,1,0,1,0,0.0,-1.0246543981685339,-460.2472306807975,-1.0246543981685339,0.0,0.0
EURUSD,2016-12,4,2,2,0,50.0,-0.8569968733118194,-385.11925701394557,-0.21424921832795485,0.9187412910187727,0.5830640960254367
EURUSD,2017-01,4,1,3,0,25.0,-1.145663731438915,-514.9205242951855,-0.2864159328597288,1.3533971417090154,0.6227414159044486
EURUSD,2017-02,3,0,3,0,0.0,-3.1168370805993972,-1369.6932488026036,-1.0389456935331325,0.9035123188008226,0.0
EURUSD,2017-03,8,0,8,0,0.0,-8.396879102544263,-3581.6793290586947,-1.0496098878180329,3.1448591879173238,0.0
EURUSD,2017-04,7,1,6,0,14.285714285714285,-4.198604468579915,-1739.2267427640586,-0.5998006383685592,1.6959827223557606,0.3166453893274645
EURUSD,2017-05,6,1,5,0,16.666666666666664,-4.8677751614880265,-1962.2728510713234,-0.8112958602480044,1.5496586165970863,0.06523665654677696
EURUSD,2017-06,9,3,6,0,33.33333333333333,-1.5239965848871264,-616.1463852175766,-0.1693329538763474,1.7300317645276972,0.749209613655727
EURUSD,2017-07,6,1,5,0,16.666666666666664,-3.2307700418646466,-1269.021816878886,-0.5384616736441078,1.2291704394074423,0.37669129058070894
EURUSD,2017-08,1,0,1,0,0.0,-1.021556701824622,-394.7773135209729,-1.021556701824622,0.0,0.0
EURUSD,2017-09,5,0,5,0,0.0,-5.140429276637289,-1955.4745189590162,-1.0280858553274579,1.5679283186059685,0.0
EURUSD,2017-10,8,2,6,0,25.0,-4.09519371913057,-1526.82616136012,-0.5118992148913213,2.3160537802740513,0.3412635362889802
EURUSD,2017-11,4,0,4,0,0.0,-3.664606072620531,-1333.085221794248,-0.9161515181551327,0.9541573115126541,0.0
EURUSD,2017-12,2,1,1,0,50.0,0.3571010414604714,125.80932142235275,0.1785505207302357,0.37378823499393593,1.3348997083803227
EURUSD,2018-01,5,1,4,0,20.0,-1.2535942469684331,-455.98280485091846,-0.2507188493936866,0.7404522589926585,0.6065207689367172
