family_id,config_id,timeframe,realized_vol_lookback,compression_percentile,bb_multiplier,stop_atr_mult,target_r,session_window,ema_fast,ema_slow,trend_slope_min,pullback_depth,stop_swing_lookback,rsi_period,rsi_oversold,rsi_overbought,news_blackout_mins,safe_window_delay
F06,F06_LIM_0001,15m,30.0,0.2,2.0,2.0,3.0,07:00-12:00,,,,,,,,,,
F06,F06_LIM_0002,15m,30.0,0.2,2.0,1.5,3.0,07:00-12:00,,,,,,,,,,
F06,F06_LIM_0003,15m,20.0,0.1,2.5,2.0,3.0,07:00-12:00,,,,,,,,,,
F06,F06_LIM_0004,15m,30.0,0.15,2.5,1.5,2.0,07:00-12:00,,,,,,,,,,
F06,F06_LIM_0005,15m,10.0,0.2,2.5,1.5,2.0,07:00-12:00,,,,,,,,,,
F06,F06_LIM_0006,15m,10.0,0.1,2.0,1.5,3.0,07:00-12:00,,,,,,,,,,
F06,F06_LIM_0007,15m,30.0,0.2,2.5,1.5,2.0,07:00-12:00,,,,,,,,,,
F06,F06_LIM_0008,15m,20.0,0.2,2.5,1.5,3.0,07:00-12:00,,,,,,,,,,
F06,F06_LIM_0009,15m,10.0,0.1,2.0,1.5,2.0,07:00-12:00,,,,,,,,,,
F06,F06_LIM_0010,15m,10.0,0.15,1.5,1.5,3.0,07:00-12:00,,,,,,,,,,
F06,F06_LIM_0011,15m,10.0,0.1,2.5,1.5,2.0,07:00-12:00,,,,,,,,,,
F06,F06_LIM_0012,15m,30.0,0.15,1.5,1.5,3.0,07:00-12:00,,,,,,,,,,
F06,F06_LIM_0013,15m,20.0,0.2,2.0,1.5,2.0,07:00-12:00,,,,,,,,,,
F06,F06_LIM_0014,15m,10.0,0.2,2.5,2.0,3.0,07:00-12:00,,,,,,,,,,
F06,F06_LIM_0015,15m,30.0,0.15,2.5,1.5,2.0,07:00-12:00,,,,,,,,,,
F06,F06_LIM_0016,15m,10.0,0.1,2.0,2.0,3.0,07:00-12:00,,,,,,,,,,
F06,F06_LIM_0017,15m,10.0,0.15,1.5,2.0,3.0,07:00-12:00,,,,,,,,,,
F06,F06_LIM_0018,15m,30.0,0.2,2.5,2.0,3.0,07:00-12:00,,,,,,,,,,
F06,F06_LIM_0019,15m,30.0,0.2,2.5,2.0,3.0,07:00-12:00,,,,,,,,,,
F06,F06_LIM_0020,15m,10.0,0.1,2.5,2.0,3.0,07:00-12:00,,,,,,,,,,
F06,F06_LIM_0021,15m,30.0,0.2,1.5,2.0,3.0,07:00-12:00,,,,,,,,,,
F06,F06_LIM_0022,15m,10.0,0.1,1.5,2.0,3.0,07:00-12:00,,,,,,,,,,
F06,F06_LIM_0023,15m,20.0,0.1,2.5,1.5,2.0,07:00-12:00,,,,,,,,,,
F06,F06_LIM_0024,15m,10.0,0.15,2.0,2.0,3.0,07:00-12:00,,,,,,,,,,
F06,F06_LIM_0025,15m,10.0,0.2,2.5,1.5,2.0,07:00-12:00,,,,,,,,,,
