scenario,final_equity,total_return_pct,max_drawdown_pct,sharpe_ratio,profit_factor,total_trades,wins,losses,win_rate_pct,trades_per_month,robustness_score,news_events_count
unprotected,101173.3752937798,1.173375293779788,1.2791659473902877,0.3114093490998616,1.2836842448772523,21,14,7,66.66666666666666,1.4,2.0180125148988233,0
calendar_only,101495.75925281638,1.4957592528163755,0.9823257716823349,0.4140770143845099,1.4582110134121193,17,12,5,70.58823529411765,1.3076923076923077,2.6304894034519206,1232
layered_guard,101303.43701764426,1.30343701764426,1.0502693084017027,0.36330063950902025,1.3996866247605562,16,11,5,68.75,1.3333333333333333,2.391217988024625,1232
