pair,design_stage,design_final_equity,design_total_return_pct,design_max_drawdown_pct,design_sharpe_ratio,design_profit_factor,design_total_trades,design_wins,design_losses,design_win_rate_pct,design_trades_per_month,design_robustness_score,oos_stage,oos_final_equity,oos_total_return_pct,oos_max_drawdown_pct,oos_sharpe_ratio,oos_profit_factor,oos_total_trades,oos_wins,oos_losses,oos_win_rate_pct,oos_trades_per_month,oos_robustness_score,design_pass,oos_pass,accepted_pair,promotion_score
USDCAD,design,101369.78404705838,1.3697840470583866,0.0,0.8117985403538148,inf,2,2,0,100.0,1.0,61.65047896161997,oos,99834.40955707207,-0.165590442927932,0.9380264593131432,-0.05333978989261281,0.8462150600887933,3,1,2,33.33333333333333,1.0,0.8369628755949607,False,False,False,65.80951457278266
USDJPY,design,100000.0,0.0,0.0,0.0,inf,0,0,0,0.0,0.0,-102.0,oos,99944.43927149738,-0.055560728502623835,1.0827543824254915,-0.009532252975296923,0.9725374381366845,5,3,2,60.0,1.25,1.0817836653624073,False,False,False,61.463563301576485
EURUSD,design,99798.22770533708,-0.20177229466292745,1.3164890538352338,-0.14350009798474261,0.7328902622231306,3,2,1,66.66666666666666,1.0,-52.314948118134396,oos,99549.68863618457,-0.45031136381543657,2.493587286958256,-0.0906856644912302,0.8537471464268409,8,4,4,50.0,1.0,0.9328783190916017,False,False,False,34.433605532312384
