pair,stage,final_equity,total_return_pct,max_drawdown_pct,sharpe_ratio,profit_factor,total_trades,wins,losses,win_rate_pct,trades_per_month,robustness_score
USDJPY,design,100000.0,0.0,0.0,0.0,inf,0,0,0,0.0,0.0,-102.0
USDJPY,oos,99944.43927149738,-0.055560728502623835,1.0827543824254915,-0.009532252975296923,0.9725374381366845,5,3,2,60.0,1.25,1.0817836653624073
EURUSD,design,99798.22770533708,-0.20177229466292745,1.3164890538352338,-0.14350009798474261,0.7328902622231306,3,2,1,66.66666666666666,1.0,-52.314948118134396
EURUSD,oos,99549.68863618457,-0.45031136381543657,2.493587286958256,-0.0906856644912302,0.8537471464268409,8,4,4,50.0,1.0,0.9328783190916017
USDCAD,design,101369.78404705838,1.3697840470583866,0.0,0.8117985403538148,inf,2,2,0,100.0,1.0,61.65047896161997
USDCAD,oos,99834.40955707207,-0.165590442927932,0.9380264593131432,-0.05333978989261281,0.8462150600887933,3,1,2,33.33333333333333,1.0,0.8369628755949607
