pair,year,trades,wins,losses,net_pnl_usd,profit_factor
USDCAD,2022,120,48,72,-35213.841564978095,0.3253276365513049
USDCAD,2023,116,53,63,-14917.578887126056,0.40284307497615457
USDCAD,2024,106,41,65,-12709.434719337856,0.23409435069104456
USDCAD,2025,149,60,89,-12744.14942675714,0.3191035402290885
