pair,month,trades,wins,losses,win_rate,total_pnl_r,total_pnl_usd,avg_pnl_r,max_drawdown_pct,profit_factor
EURUSD,2022-02,1,1,0,100.0,0.3587629816797925,358.76298167979246,0.3587629816797925,0.0,inf
EURUSD,2022-07,1,0,1,0.0,-1.0556052230268713,-1055.6052230268713,-1.0556052230268713,0.0,0.0
EURUSD,2022-09,2,1,1,50.0,0.253103833956429,253.10383395642899,0.1265519169782145,0.004075593388073901,62.943015973236726
EURUSD,2023-01,2,2,0,100.0,0.9290255453436569,929.0255453436569,0.46451277267182844,0.0,inf
EURUSD,2023-02,1,1,0,100.0,0.7291004074169353,729.1004074169352,0.7291004074169353,0.0,inf
EURUSD,2023-07,1,1,0,100.0,0.2861401257618952,286.1401257618952,0.2861401257618952,0.0,inf
EURUSD,2023-09,1,0,1,0.0,-1.101514634412533,-1101.514634412533,-1.101514634412533,0.0,0.0
EURUSD,2023-11,2,0,2,0.0,-2.3494431459504423,-2349.443145950442,-1.1747215729752212,1.255542784754673,0.0
EURUSD,2024-03,1,1,0,100.0,0.08945409597443031,89.45409597443032,0.08945409597443031,0.0,inf
EURUSD,2024-06,1,0,1,0.0,-1.169688048712302,-1169.6880487123021,-1.169688048712302,0.0,0.0
EURUSD,2024-10,1,0,1,0.0,-1.14435872242359,-1144.35872242359,-1.14435872242359,0.0,0.0
EURUSD,2025-04,2,1,1,50.0,-0.8966768597595224,-896.6768597595225,-0.4483384298797612,0.0,0.15004849188263078
EURUSD,2025-05,1,0,1,0.0,-1.1897206891164123,-1189.7206891164124,-1.1897206891164123,0.0,0.0
EURUSD,2025-06,1,0,1,0.0,-0.05973099955520308,-59.73099955520308,-0.05973099955520308,0.0,0.0
EURUSD,2025-07,1,1,0,100.0,0.2938789915074234,293.8789915074234,0.2938789915074234,0.0,inf
EURUSD,2025-09,1,0,1,0.0,-0.05608303064957655,-56.08303064957655,-0.05608303064957655,0.0,0.0
EURUSD,2025-10,1,0,1,0.0,-1.135115951894125,-1135.115951894125,-1.135115951894125,0.0,0.0
EURUSD,2025-11,1,0,1,0.0,-1.225894598166766,-1225.894598166766,-1.225894598166766,0.0,0.0
EURUSD,2025-12,1,0,1,0.0,-1.139567016154277,-1139.567016154277,-1.139567016154277,0.0,0.0
