pair,direction,entry_time,exit_time,entry_price,exit_price,units,gross_pnl_usd,net_pnl_usd,r_multiple,commission_usd,exit_reason,strategy_family,context_key,setup_tag,context_trades_before,context_win_rate_before,context_expectancy_before
EURUSD,long,2020-03-04 14:15:00-05:00,2020-03-04 14:30:00-05:00,1.11343,1.1130726310368972,1796000,-641.8346577324093,-721.8106322392547,-1.2276637709156646,79.97597450684535,stop_loss,session_compression_release,wed_thu|core|active|mild|long,,0,0.0,0.0
EURUSD,short,2020-03-24 14:40:00-04:00,2020-03-24 14:50:00-04:00,1.0756700000000001,1.0752392163258035,1302000,560.880343803944,504.8706678108201,0.5049208705749277,56.009675993123935,take_profit,session_compression_release,mon_tue|late|active|deep|short,,0,0.0,0.0
EURUSD,long,2020-04-13 13:45:00-04:00,2020-04-13 13:50:00-04:00,1.09153,1.0916864397043637,1828000,285.9717795771237,206.15338654153217,0.36293355845408615,79.81839303559154,take_profit,session_compression_release,mon_tue|core|active|mild|long,,0,0.0,0.0
EURUSD,short,2020-04-17 12:30:00-04:00,2020-04-17 12:35:00-04:00,1.08661,1.086338900359687,1840000,498.8233381759599,418.8588186427234,0.45361860027961415,79.9645195332365,take_profit,session_compression_release,fri|core|active|mild|short,,0,0.0,0.0
EURUSD,short,2020-04-21 13:50:00-04:00,2020-04-21 14:05:00-04:00,1.08413,1.0845973966814009,1852000,-865.6186539543436,-945.9483167274227,-1.1677528683999256,80.3296627730791,stop_loss,session_compression_release,mon_tue|core|balanced|mild|short,,0,0.0,0.0
EURUSD,short,2020-04-24 13:00:00-04:00,2020-04-24 13:05:00-04:00,1.07878,1.0785384622933014,1843000,445.15399344562655,365.63523492549547,0.4383730124220541,79.51875852013109,take_profit,session_compression_release,fri|core|balanced|mild|short,,0,0.0,0.0
EURUSD,short,2020-05-13 12:10:00-04:00,2020-05-13 12:20:00-04:00,1.08303,1.082738162506477,1843000,537.8565005629208,458.0262860929321,0.4633185417009883,79.83021446998875,take_profit,session_compression_release,wed_thu|early|active|deep|short,,0,0.0,0.0
EURUSD,long,2020-07-20 11:50:00-04:00,2020-07-20 12:05:00-04:00,1.14415,1.1443707696599716,1753000,387.0092139302892,306.7736757460106,0.4187091323527226,80.23553818427861,take_profit,session_compression_release,mon_tue|early|balanced|mild|long,,0,0.0,0.0
EURUSD,long,2020-08-03 13:50:00-04:00,2020-08-03 14:00:00-04:00,1.1755,1.1751247928585253,1711000,-641.9794190631327,-722.4177994747514,-1.2230906797818777,80.43838041161874,stop_loss,session_compression_release,mon_tue|core|active|deep|long,,0,0.0,0.0
EURUSD,long,2020-08-04 12:20:00-04:00,2020-08-04 12:25:00-04:00,1.17751,1.1769743536299766,1696000,-908.4562435597832,-988.3203528349119,-1.152457708870715,79.86410927512881,stop_loss,session_compression_release,mon_tue|early|balanced|deep|long,,0,0.0,0.0
EURUSD,long,2020-08-20 12:55:00-04:00,2020-08-20 13:00:00-04:00,1.1859,1.1855018368354568,1667000,-663.7379952933616,-742.8005325334557,-1.210309026522973,79.06253724009414,stop_loss,session_compression_release,wed_thu|core|active|deep|long,,0,0.0,0.0
