side_exp,choch_time,entry_bid,sl_bid,tp_bid,risk_pips,outcome_exp,be_hit_exp,exit_bid,exit_time_exp,time_min,timestamp_ny,side_rep,entry_price,sl_price,tp_price,outcome_rep,exit_time_rep,exit_price,r_gross,be_hit_rep
LONG,2026-01-02 15:00:00+00:00,1.17336,1.17336,1.1742560000000002,0.0006400000000001,SL,True,1.17336,2026-01-02 10:12:00-05:00,2026-01-02 15:00:00+00:00,2026-01-02 15:00:00+00:00,LONG,1.1733,1.17277,1.1740420000000005,TP,2026-01-02T10:39:00-05:00,1.1740420000000005,1.4,True
SHORT,2026-01-06 12:39:00+00:00,1.1702,1.1702,1.1686459999999994,0.0011100000000003,SL,True,1.1702,2026-01-06 07:57:00-05:00,2026-01-06 12:39:00+00:00,2026-01-06 12:39:00+00:00,SHORT,1.1702,1.1712600000000002,1.1687159999999994,BE,2026-01-06T08:36:00-05:00,1.1702,0.0,True
LONG,2026-01-07 13:39:00+00:00,1.16912,1.16912,1.1705480000000004,0.0010200000000002,SL,True,1.16912,2026-01-07 10:00:00-05:00,2026-01-07 13:39:00+00:00,2026-01-07 13:39:00+00:00,LONG,1.1691,1.1681499999999998,1.1704300000000003,BE,2026-01-07T10:21:00-05:00,1.1691,0.0,True
SHORT,2026-01-08 13:30:00+00:00,1.16694,1.16694,1.165638,0.00093,SL,True,1.16694,2026-01-08 10:15:00-05:00,2026-01-08 13:30:00+00:00,2026-01-08 13:30:00+00:00,SHORT,1.16694,1.16782,1.1657080000000002,TP,2026-01-08T09:18:00-05:00,1.1657080000000002,1.4,True
SHORT,2026-01-09 12:21:00+00:00,1.16418,1.16418,1.1634519999999997,0.0005200000000002,SL,True,1.16418,2026-01-09 07:30:00-05:00,2026-01-09 12:21:00+00:00,2026-01-09 12:21:00+00:00,SHORT,1.16418,1.1646500000000002,1.1635219999999995,TP,2026-01-09T08:30:00-05:00,1.1635219999999995,1.4,True
LONG,2026-01-12 15:36:00+00:00,1.16817,1.16817,1.169556,0.00099,SL,True,1.16817,2026-01-12 10:54:00-05:00,2026-01-12 15:36:00+00:00,2026-01-12 15:36:00+00:00,LONG,1.16815,1.16723,1.169438,BE,2026-01-12T11:57:00-05:00,1.16815,0.0,True
SHORT,2026-01-13 12:06:00+00:00,1.16654,1.16654,1.1658959999999994,0.0004600000000003,SL,True,1.16654,2026-01-13 07:12:00-05:00,2026-01-13 12:06:00+00:00,2026-01-13 12:06:00+00:00,SHORT,1.16654,1.1669500000000002,1.1659659999999996,TP,2026-01-13T07:42:00-05:00,1.1659659999999996,1.4,True
LONG,2026-01-14 12:51:00+00:00,1.16512,1.16512,1.1661560000000002,0.0007400000000001,SL,True,1.16512,2026-01-14 08:09:00-05:00,2026-01-14 12:51:00+00:00,2026-01-14 12:51:00+00:00,LONG,1.16511,1.16443,1.1660620000000004,TP,2026-01-14T11:00:00-05:00,1.1660620000000004,1.4,True
LONG,2026-01-16 15:00:00+00:00,1.16215,1.15833,1.167498,0.0038200000000001,SL,False,1.15833,2026-01-18 17:00:00-05:00,2026-01-16 15:00:00+00:00,2026-01-16 15:00:00+00:00,LONG,1.16213,1.15838,1.1673800000000003,WEEKEND_CLOSE,2026-01-16T16:57:00-05:00,1.1595,-0.7013,False
LONG,2026-01-19 14:24:00+00:00,1.1635,1.1635,1.1643400000000002,0.0006000000000001,SL,True,1.1635,2026-01-19 09:36:00-05:00,2026-01-19 14:24:00+00:00,2026-01-19 14:24:00+00:00,LONG,1.16347,1.16295,1.164198,TP,2026-01-19T09:48:00-05:00,1.164198,1.4,True
