trade_id,entry_time,side,outcome,pnl_base,pnl_net_ftmo,commission_r
N/A,2017-07-03T11:12:00+00:00,SHORT,SL,-1.0,-1.0,0.0
N/A,2017-07-05T16:51:00+00:00,SHORT,TP,1.4,1.4,0.0
N/A,2017-07-06T11:33:00+00:00,SHORT,TP,1.4,1.4,0.0
N/A,2017-07-07T12:00:00+00:00,SHORT,BE,0.0,0.0,0.0
N/A,2017-07-10T12:15:00+00:00,SHORT,SL,-1.0,-1.0467,0.0467
N/A,2017-07-11T12:06:00+00:00,SHORT,TP,1.4,1.4,0.0
N/A,2017-07-12T13:00:00+00:00,SHORT,SL,-1.0,-1.0,0.0
N/A,2017-07-13T11:12:00+00:00,SHORT,TP,1.4,1.4,0.0
N/A,2017-07-14T15:57:00+00:00,SHORT,SL,-1.0,-1.05,0.05
N/A,2017-07-17T14:00:00+00:00,SHORT,TP,1.4,1.4,0.0
N/A,2017-07-18T13:18:00+00:00,SHORT,TP,1.4,1.4,0.0
N/A,2017-07-19T15:00:00+00:00,SHORT,TP,1.4,1.4,0.0
N/A,2017-07-20T11:21:00+00:00,SHORT,SL,-1.0,-1.0,0.0
N/A,2017-07-25T13:27:00+00:00,SHORT,SL,-1.0,-1.0,0.0
N/A,2017-07-26T11:15:00+00:00,SHORT,SL,-1.0,-1.045,0.045
N/A,2017-07-27T15:30:00+00:00,SHORT,SL,-1.0,-1.0,0.0
N/A,2017-07-28T11:45:00+00:00,SHORT,SL,-1.0,-1.0365,0.0365
N/A,2017-07-31T14:00:00+00:00,SHORT,TP,1.4,1.4,0.0
