variant_id,session_date,sweep_id,sweep_time,direction,level_name,level_group,status,detail
baseline_truth_model,2020-01-02,SWEEP_000001_20200102_0000,2020-01-02T00:00:00-05:00,short,london_h,london,TRADE_EXECUTED,2020-01-02T01:05:00-05:00 -> timeout (0.1284R)
baseline_truth_model,2020-01-02,SWEEP_000002_20200102_0200,2020-01-02T02:00:00-05:00,long,pdl,pd,DAILY_LIMIT_SKIPPED,1 trade per day
baseline_truth_model,2020-01-02,SWEEP_000003_20200102_0300,2020-01-02T03:00:00-05:00,long,pdl,pd,DAILY_LIMIT_SKIPPED,1 trade per day
baseline_truth_model,2020-01-02,SWEEP_000004_20200102_0400,2020-01-02T04:00:00-05:00,long,pdl,pd,DAILY_LIMIT_SKIPPED,1 trade per day
baseline_truth_model,2020-01-02,SWEEP_000005_20200102_0800,2020-01-02T08:00:00-05:00,long,london_l,london,NEWS_BLOCKED,unemployment claims | 30m_before_30m_after_same_day | 2020-01-02T08:30:00-05:00
baseline_truth_model,2020-01-02,SWEEP_000006_20200102_1100,2020-01-02T11:00:00-05:00,long,london_l,london,DAILY_LIMIT_SKIPPED,1 trade per day
baseline_truth_model,2020-01-02,SWEEP_000007_20200102_1300,2020-01-02T13:00:00-05:00,long,asia_l,asia,DAILY_LIMIT_SKIPPED,1 trade per day
baseline_truth_model,2020-01-02,SWEEP_000008_20200102_1400,2020-01-02T14:00:00-05:00,long,asia_l,asia,DAILY_LIMIT_SKIPPED,1 trade per day
baseline_truth_model,2020-01-02,SWEEP_000009_20200102_1600,2020-01-02T16:00:00-05:00,long,asia_l,asia,DAILY_LIMIT_SKIPPED,1 trade per day
baseline_truth_model,2020-01-03,SWEEP_000010_20200103_0000,2020-01-03T00:00:00-05:00,short,london_h,london,TRADE_EXECUTED,2020-01-03T01:05:00-05:00 -> tp_hit (1.5R)
baseline_truth_model,2020-01-03,SWEEP_000011_20200103_0200,2020-01-03T02:00:00-05:00,long,asia_l,asia,DAILY_LIMIT_SKIPPED,1 trade per day
baseline_truth_model,2020-01-03,SWEEP_000012_20200103_1100,2020-01-03T11:00:00-05:00,long,pdl,pd,DAILY_LIMIT_SKIPPED,1 trade per day
baseline_truth_model,2020-01-03,SWEEP_000013_20200103_1100,2020-01-03T11:00:00-05:00,long,asia_l,asia,DAILY_LIMIT_SKIPPED,1 trade per day
baseline_truth_model,2020-01-03,SWEEP_000014_20200103_1200,2020-01-03T12:00:00-05:00,long,pdl,pd,DAILY_LIMIT_SKIPPED,1 trade per day
baseline_truth_model,2020-01-03,SWEEP_000015_20200103_1200,2020-01-03T12:00:00-05:00,long,asia_l,asia,DAILY_LIMIT_SKIPPED,1 trade per day
baseline_truth_model,2020-01-03,SWEEP_000016_20200103_1200,2020-01-03T12:00:00-05:00,short,asia_h,asia,DAILY_LIMIT_SKIPPED,1 trade per day
baseline_truth_model,2020-01-03,SWEEP_000017_20200103_1400,2020-01-03T14:00:00-05:00,short,london_h,london,NEWS_BLOCKED,fomc meeting minutes | 30m_before_30m_after_same_day | 2020-01-03T14:00:00-05:00
baseline_truth_model,2020-01-03,SWEEP_000018_20200103_1500,2020-01-03T15:00:00-05:00,long,pdl,pd,DAILY_LIMIT_SKIPPED,1 trade per day
