pair,strategy_family,h1_ema_fast,h1_ema_slow,asr_h1_adx_max,asr_h1_distance_atr_max,m15_ema_period,asr_m15_extension_atr,asr_m15_rsi_long,asr_m15_rsi_short,asr_m5_reclaim_rsi_long,asr_m5_reclaim_rsi_short,stop_atr_multiple,asr_take_profit_rr_cap,asr_max_hold_bars,validation_score,full_sample_goal_score,avg_validation_goal_score,avg_validation_robustness,avg_validation_return_pct,avg_validation_sharpe,worst_validation_drawdown_pct,profitable_window_ratio,full_sample_robustness,initial_capital,final_equity,total_return_pct,max_drawdown_pct,sharpe_ratio,profit_factor,total_trades,wins,losses,break_even_trades,win_rate_pct,trades_per_month,profit_month_ratio,avg_monthly_net_pnl_usd,expectancy_usd,avg_trade_minutes,median_trade_minutes,max_consecutive_wins,max_consecutive_losses
USDJPY,adaptive_session_reversion,21.0,200.0,20.0,0.8,10.0,0.3,34.0,66.0,38.0,62.0,0.8,0.9,9.0,33.74432411540916,26.237497452637932,22.875610293682225,2.4785051158518763,0.17096685269158973,-0.019481054920950702,1.860330316283256,0.5,1.25256420637076,100000.0,100318.68385282457,0.3186838528245639,2.6477050953143104,0.08168498065486957,1.053207864941816,29.0,18.0,11.0,0.0,62.06896551724138,1.8125,0.5,19.917740801533796,10.98909837326003,13.620689655172415,10.0,5.0,3.0
USDCAD,adaptive_session_reversion,21.0,200.0,20.0,0.8,10.0,0.3,34.0,66.0,38.0,62.0,0.8,0.7,9.0,26.11312008902794,11.494697526654054,18.169716839341756,1.2542272949824367,-1.0268287777986163,-0.22452163194062807,3.299480663440108,0.5,0.7340075167822536,100000.0,97748.64497044722,-2.2513550295527818,4.498796098848383,-0.4159294152464256,0.7533074834977308,32.0,19.0,13.0,0.0,59.375,1.7777777777777777,0.3888888888888889,-125.07527941960183,-70.354844673526,12.65625,10.0,8.0,3.0
USDCHF,adaptive_session_reversion,21.0,200.0,20.0,0.8,10.0,0.3,34.0,66.0,38.0,62.0,0.8,0.9,9.0,1.9196134449297304,-1.1116779816837465,2.009694198024502,0.48197843773546556,-1.4318821787460245,-0.6122206363808453,3.193575257971278,0.0,0.4291150071184329,100000.0,97149.33370393666,-2.850666296063342,3.193575257971278,-0.6495985016547653,0.6077504270055055,21.0,11.0,10.0,0.0,52.38095238095239,1.5,0.5,-203.61902114738254,-135.74601409825505,16.428571428571427,15.0,3.0,2.0
AUDUSD,adaptive_session_reversion,21.0,200.0,20.0,0.8,10.0,0.3,34.0,66.0,38.0,62.0,1.0,0.5,9.0,-2.6831356397198713,-7.532425696767952,-2.818531592623267,0.2879923288361941,-1.809481555984288,-0.9256246282008892,3.1453923661532905,0.0,0.2514125923706559,100000.0,96154.47772260709,-3.84552227739291,4.891269042318469,-1.0034648927093481,0.4041674023781826,23.0,13.0,10.0,0.0,56.52173913043478,1.6428571428571428,0.35714285714285715,-274.6801626709214,-167.19662075621306,20.869565217391305,15.0,4.0,4.0
EURUSD,adaptive_session_reversion,21.0,200.0,20.0,0.8,10.0,0.3,34.0,66.0,38.0,62.0,1.0,0.5,9.0,-4.916528727591133,-6.7649778741774265,-5.161317714819429,0.28238702024267903,-1.8522105319946636,-0.9958106720013722,3.034468528322832,0.0,0.28363603999352865,100000.0,96329.22818016687,-3.6707718198331296,3.6707718198331274,-0.9788697668471648,0.40700374105982634,18.0,10.0,8.0,0.0,55.55555555555556,1.5,0.5,-305.8976516527601,-203.93176776850675,13.333333333333334,10.0,7.0,3.0
GBPUSD,adaptive_session_reversion,21.0,200.0,20.0,0.8,10.0,0.3,34.0,66.0,38.0,62.0,0.8,0.7,9.0,-29.739092024378724,-34.44153440976302,-31.74646616914199,0.27233034515488547,-2.1631586977895525,-0.9603026224009485,4.440780167404061,0.0,0.27551354349800944,100000.0,95714.48720497642,-4.285512795023571,4.752324827641056,-0.9476990576644535,0.4355417468882689,16.0,6.0,10.0,0.0,37.5,1.2307692307692308,0.38461538461538464,-329.6548303864319,-267.8445496889759,14.375,12.5,3.0,5.0
GBPJPY,adaptive_session_reversion,21.0,200.0,20.0,0.8,10.0,0.3,34.0,66.0,38.0,62.0,0.8,0.5,4.0,-85.20000000000002,-85.20000000000002,-85.20000000000002,5.0,0.0,0.0,0.0,0.0,5.0,100000.0,100000.0,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
