context_key,trades,wins,losses,win_rate_pct,profit_factor,net_pnl_usd,avg_r_multiple
core_reversion|wed_thu|early|balanced|deep|short,2,2,0,100.0,inf,711.5908892256309,0.5586245098484497
core_reversion|wed_thu|core|balanced|deep|short,1,1,0,100.0,inf,397.3165872465669,0.5924940212910921
core_reversion|mon_tue|core|balanced|deep|short,1,1,0,100.0,inf,111.89804948063622,0.34985107905526314
core_reversion|fri|core|balanced|deep|short,1,1,0,100.0,inf,3.877611184432311,0.020973966762247047
core_reversion|wed_thu|core|calm|deep|short,1,0,1,0.0,0.0,-502.11447545018643,-1.4150563460707817
core_reversion|mon_tue|early|balanced|deep|short,1,0,1,0.0,0.0,-511.9309374579144,-1.3929504959079417
