trade_id,entry_time,side,entry_price,sl,tp,risk_pips,outcome,exit_price,exit_time,pnl_r_base,pnl_r_net_ftmo,commission_r
N/A,2016-11-01T11:06:00+00:00,SHORT,1.10037,1.10037,1.1013640000000005,7.100000000002,TP,1.1013640000000005,2016-11-01T11:06:00.276000+00:00,1.4,1.3296,0.0704
N/A,2016-11-02T12:54:00+00:00,SHORT,1.10866,1.1102600000000002,1.1064199999999995,16.000000000002,SL,1.1102600000000002,2016-11-02T14:01:30.114000+00:00,-1.0,-1.0312,0.0312
N/A,2016-11-03T11:00:00+00:00,SHORT,1.10777,1.10777,1.1067059999999995,7.600000000003001,SL,1.10777,2016-11-03T11:00:00.124000+00:00,-1.0,-1.0658,0.0658
N/A,2016-11-04T12:00:00+00:00,SHORT,1.11018,1.11018,1.1134000000000002,23.000000000001002,TP,1.1134000000000002,2016-11-04T12:00:00.194000+00:00,1.4,1.3783,0.0217
N/A,2016-11-07T17:48:00+00:00,SHORT,1.10389,1.10389,1.1056400000000004,12.500000000001,TP,1.1056400000000004,2016-11-07T17:48:09.419000+00:00,1.4,1.36,0.04
N/A,2016-11-08T16:39:00+00:00,SHORT,1.10414,1.10414,1.1025999999999994,11.000000000003,SL,1.10414,2016-11-08T16:39:00.001000+00:00,-1.0,-1.0455,0.0455
N/A,2016-11-09T12:00:00+00:00,SHORT,1.10865,1.1092500000000003,1.1078099999999993,6.000000000002999,BE,1.10865,2016-11-09T12:06:24.455000+00:00,0.0,-0.0833,0.0833
N/A,2016-11-10T12:15:00+00:00,SHORT,1.08886,1.08886,1.0856539999999997,22.900000000003,SL,1.08886,2016-11-10T12:15:00.009000+00:00,-1.0,-1.0218,0.0218
N/A,2016-11-11T12:15:00+00:00,SHORT,1.08795,1.08795,1.0901480000000003,15.700000000002,TP,1.0901480000000003,2016-11-11T12:15:00.700000+00:00,1.4,1.3682,0.0318
N/A,2016-11-14T14:00:00+00:00,SHORT,1.07565,1.07565,1.0735779999999997,14.800000000000999,SL,1.07565,2016-11-14T14:00:00.105000+00:00,-1.0,-1.0338,0.0338
N/A,2016-11-15T18:48:00+00:00,SHORT,1.07239,1.07239,1.0704159999999994,14.100000000003,SL,1.07239,2016-11-15T18:48:02.073000+00:00,-1.0,-1.0355,0.0355
N/A,2016-11-16T12:39:00+00:00,SHORT,1.07059,1.07059,1.073306,19.400000000000002,TP,1.073306,2016-11-16T12:39:00.140000+00:00,1.4,1.3742,0.0258
N/A,2016-11-17T12:03:00+00:00,SHORT,1.07307,1.07307,1.070858,15.800000000000999,SL,1.07307,2016-11-17T12:03:00.331000+00:00,-1.0,-1.0316,0.0316
N/A,2016-11-18T12:45:00+00:00,SHORT,1.06296,1.06296,1.06548,18.0,TP,1.06548,2016-11-18T12:45:00.519000+00:00,1.4,1.3722,0.0278
N/A,2016-11-21T20:00:00+00:00,SHORT,1.06145,1.06145,1.0622620000000005,5.800000000002,TP,1.0622620000000005,2016-11-21T20:00:00.181000+00:00,1.4,1.3138,0.0862
N/A,2016-11-22T15:15:00+00:00,SHORT,1.06137,1.06137,1.0599279999999995,10.300000000003,SL,1.06137,2016-11-22T15:15:00.421000+00:00,-1.0,-1.0485,0.0485
N/A,2016-11-23T15:12:00+00:00,SHORT,1.05372,1.05372,1.0503319999999996,24.200000000002998,SL,1.05372,2016-11-23T15:12:01.091000+00:00,-1.0,-1.0207,0.0207
N/A,2016-11-24T21:00:00+00:00,SHORT,1.05567,1.05567,1.0569720000000005,9.300000000003001,TP,1.0569720000000005,2016-11-24T21:00:01.002000+00:00,1.4,1.3462,0.0538
N/A,2016-11-25T12:24:00+00:00,SHORT,1.05934,1.05934,1.0607120000000003,9.800000000002,TP,1.0607120000000003,2016-11-25T12:24:00.083000+00:00,1.4,1.349,0.051
N/A,2016-11-28T12:18:00+00:00,SHORT,1.06,1.06,1.0583479999999998,11.800000000001,SL,1.06,2016-11-28T12:18:00.901000+00:00,-1.0,-1.0424,0.0424
N/A,2016-11-29T13:06:00+00:00,SHORT,1.05746,1.05746,1.0545619999999998,20.700000000002003,SL,1.05746,2016-11-29T13:06:00.168000+00:00,-1.0,-1.0242,0.0242
N/A,2016-11-30T14:06:00+00:00,SHORT,1.06095,1.06095,1.0574499999999998,25.000000000001,SL,1.06095,2016-11-30T14:06:00.379000+00:00,-1.0,-1.02,0.02
