pair,stage,final_equity,total_return_pct,max_drawdown_pct,sharpe_ratio,profit_factor,total_trades,wins,losses,win_rate_pct,trades_per_month,robustness_score
USDJPY,design,98900.78068938108,-1.0992193106189263,1.2079277983361971,-0.6576559029943911,0.43479735916852197,11,6,5,54.54545454545454,1.2222222222222223,-4.173351825605794
USDJPY,oos,94776.9986382106,-5.223001361789404,7.0516007025511485,-0.8374339084540738,0.4234887869585072,29,15,14,51.724137931034484,1.2083333333333333,0.26557633992421376
EURUSD,design,94929.102733647,-5.070897266353002,5.408641172775772,-1.5641330891116,0.2834650712495671,25,11,14,44.0,1.5625,-17.69376294995779
EURUSD,oos,94330.06850431244,-5.669931495687564,7.221941762266402,-0.9012748518926883,0.44141209230760714,43,26,17,60.46511627906976,1.5357142857142858,0.36406756124538414
