pair,direction,entry_time,exit_time,entry_price,exit_price,units,gross_pnl_usd,net_pnl_usd,r_multiple,commission_usd,exit_reason,strategy_family,context_key,setup_tag
EURUSD,long,2022-01-03 11:20:00-05:00,2022-01-03 11:25:00-05:00,1.12965,1.1292373366408226,2423282,-999.999690354238,-1109.478110812431,-1.109478110812431,109.47842045819293,stop_loss,fast_indicator_combo,,vwap_rsi7
EURUSD,long,2022-01-03 13:00:00-05:00,2022-01-03 13:15:00-05:00,1.1285399999999999,1.128778892954596,3348780,799.9999484927496,648.8146612457797,0.6488146612457797,151.18528724696984,take_profit,fast_indicator_combo,,vwap_rsi7
EURUSD,long,2022-01-03 17:40:00-05:00,2022-01-03 17:40:00-05:00,1.1296599999999999,1.1295537823340842,9414629,-999.9999178420301,-1425.3931096892732,-1.4253931096892731,425.39319184724314,stop_loss,fast_indicator_combo,,vwap_rsi7
EURUSD,short,2022-01-04 11:05:00-05:00,2022-01-04 11:05:00-05:00,1.13089,1.1313207967816996,2321280,-999.9999534237879,-1105.0244469908564,-1.1050244469908563,105.02449356706848,stop_loss,fast_indicator_combo,,vwap_rsi7
EURUSD,short,2022-01-04 11:15:00-05:00,2022-01-04 11:20:00-05:00,1.1301,1.1305756308985064,2102470,-999.9996951826027,-1095.0597490565065,-1.0950597490565064,95.06005387390367,stop_loss,fast_indicator_combo,,vwap_rsi7
EURUSD,long,2022-01-04 12:30:00-05:00,2022-01-04 12:35:00-05:00,1.12935,1.12898174118118,2715481,-999.9998255883628,-1122.648964285851,-1.122648964285851,122.64913869748824,stop_loss,fast_indicator_combo,,vwap_rsi7
EURUSD,long,2022-01-04 12:55:00-05:00,2022-01-04 13:05:00-05:00,1.12936,1.129025683495686,2991177,-999.9998384242136,-1135.104464696245,-1.135104464696245,135.1046262720315,stop_loss,fast_indicator_combo,,vwap_rsi7
EURUSD,long,2022-01-04 14:20:00-05:00,2022-01-04 14:20:00-05:00,1.12851,1.1287088071928275,4023999,799.999945131111,618.3390206726083,0.6183390206726083,181.66092445850262,take_profit,fast_indicator_combo,,vwap_rsi7
EURUSD,long,2022-01-04 15:45:00-05:00,2022-01-04 15:50:00-05:00,1.1286,1.128386385343464,4681326,-999.9998456236641,-1211.3136265707517,-1.2113136265707516,211.31378094708754,stop_loss,fast_indicator_combo,,vwap_rsi7
EURUSD,long,2022-01-04 16:55:00-05:00,2022-01-04 17:00:00-05:00,1.12861,1.128747564647467,5815447,799.9999164183652,537.4490508732367,0.5374490508732367,262.5508655451284,take_profit,fast_indicator_combo,,vwap_rsi7
EURUSD,short,2022-01-05 13:10:00-05:00,2022-01-05 13:20:00-05:00,1.13364,1.133914428748372,3643933,-999.9999723415154,-1165.2563005857623,-1.1652563005857624,165.25632824424684,stop_loss,fast_indicator_combo,,vwap_rsi7
EURUSD,long,2022-01-05 15:35:00-05:00,2022-01-05 16:35:00-05:00,1.13112,1.13119,2779730,194.5811000000403,68.80888047404031,0.06880888047404031,125.77221952599999,time_stop,fast_indicator_combo,,vwap_rsi7
EURUSD,long,2022-01-06 11:30:00-05:00,2022-01-06 11:30:00-05:00,1.13016,1.130563883223074,1980770,799.9997717681721,710.4402908447368,0.7104402908447367,89.55948092343537,take_profit,fast_indicator_combo,,vwap_rsi7
EURUSD,long,2022-01-06 14:00:00-05:00,2022-01-06 14:15:00-05:00,1.12931,1.1295283629892976,3663624,799.999888302285,634.4891995269188,0.6344891995269188,165.51068877536608,take_profit,fast_indicator_combo,,vwap_rsi7
EURUSD,long,2022-01-06 16:20:00-05:00,2022-01-06 16:25:00-05:00,1.12911,1.1292560590431793,5477237,799.9999954857893,552.6078727230796,0.5526078727230795,247.39212276270973,take_profit,fast_indicator_combo,,vwap_rsi7
EURUSD,short,2022-01-07 11:20:00-05:00,2022-01-07 11:20:00-05:00,1.13441,1.1340814091744413,2434638,799.9997103562985,689.5406026073056,0.6895406026073055,110.45910774899286,take_profit,fast_indicator_combo,,vwap_rsi7
