pair,year,trades,wins,losses,win_rate,total_pnl_r,total_pnl_usd,avg_pnl_r,max_drawdown_pct,profit_factor
EURUSD,2022,3,2,1,66.66666666666666,-0.5339802175042414,-533.9802175042414,-0.17799340583474713,0.0,0.5191494632400768
EURUSD,2023,3,1,2,33.33333333333333,-1.5585144496899166,-1558.5144496899165,-0.5195048165633055,2.2419812522836744,0.30967581503875735
EURUSD,2024,3,0,3,0.0,-3.583229723867252,-3583.229723867252,-1.1944099079557506,2.408598463922159,0.0
EURUSD,2025,3,0,3,0.0,-2.396918915082514,-2396.918915082514,-0.7989729716941714,2.331188146399929,0.0
