pair,month,trades,wins,losses,win_rate,total_pnl_r,total_pnl_usd,avg_pnl_r,max_drawdown_pct,profit_factor
EURUSD,2022-09,3,2,1,66.66666666666666,-0.5339802175042414,-533.9802175042414,-0.17799340583474713,0.0,0.5191494632400768
EURUSD,2023-01,1,1,0,100.0,0.6991414222065857,699.1414222065857,0.6991414222065857,0.0,inf
EURUSD,2023-10,1,0,1,0.0,-1.1282886427593597,-1128.2886427593596,-1.1282886427593597,0.0,0.0
EURUSD,2023-11,1,0,1,0.0,-1.1293672291371426,-1129.3672291371427,-1.1293672291371426,0.0,0.0
EURUSD,2024-06,1,0,1,0.0,-1.2036216730741827,-1203.6216730741826,-1.2036216730741827,0.0,0.0
EURUSD,2024-10,1,0,1,0.0,-1.173226614993627,-1173.226614993627,-1.173226614993627,0.0,0.0
EURUSD,2024-11,1,0,1,0.0,-1.2063814357994427,-1206.3814357994427,-1.2063814357994427,0.0,0.0
EURUSD,2025-09,1,0,1,0.0,-0.06729965014942883,-67.29965014942883,-0.06729965014942883,0.0,0.0
EURUSD,2025-10,1,0,1,0.0,-1.1621350308822882,-1162.1350308822882,-1.1621350308822882,0.0,0.0
EURUSD,2025-12,1,0,1,0.0,-1.1674842340507972,-1167.484234050797,-1.1674842340507972,0.0,0.0
