entry_time,side,outcome,pnl_net_ftmo,auditable
2019-10-01T14:00:00+00:00,SHORT,TIME_EXIT,NaN,NO
2019-10-02T14:03:00+00:00,SHORT,TIME_EXIT,-2.5103,YES
2019-10-03T11:42:00+00:00,SHORT,TIME_EXIT,0,YES
2019-10-04T13:12:00+00:00,SHORT,TP,1.4,YES
2019-10-07T11:00:00+00:00,SHORT,TP,1.4,YES
2019-10-08T15:09:00+00:00,SHORT,SL,-1.0,YES
2019-10-09T16:54:00+00:00,SHORT,TP,1.4,YES
2019-10-11T13:54:00+00:00,SHORT,SL,-1.0,YES
2019-10-15T13:00:00+00:00,SHORT,TP,1.3682,YES
2019-10-18T11:06:00+00:00,SHORT,TP,1.4,YES
2019-10-21T11:21:00+00:00,SHORT,TP,1.4,YES
2019-10-22T11:00:00+00:00,SHORT,SL,-1.0,YES
2019-10-23T11:42:00+00:00,SHORT,TP,1.4,YES
2019-10-24T13:27:00+00:00,SHORT,SL,-1.0,YES
2019-10-25T12:15:00+00:00,SHORT,TIME_EXIT,NaN,NO
2019-10-28T11:48:00+00:00,SHORT,SL,-1.0,YES
2019-10-29T11:00:00+00:00,SHORT,TP,1.4,YES
2019-10-30T11:15:00+00:00,SHORT,SL,-1.0,YES
