entry_time,side,outcome,pnl_net_ftmo,auditable
2019-12-02T12:54:00+00:00,SHORT,SL,-1.0,YES
2019-12-03T17:00:00+00:00,SHORT,TP,1.3474,YES
2019-12-04T13:06:00+00:00,SHORT,TP,1.3206,YES
2019-12-06T12:54:00+00:00,SHORT,SL,-1.0,YES
2019-12-09T12:18:00+00:00,SHORT,TP,1.4,YES
2019-12-10T12:03:00+00:00,SHORT,SL,-1.0,YES
2019-12-11T12:00:00+00:00,SHORT,SL,-1.0,YES
2019-12-12T14:09:00+00:00,SHORT,TP,1.3794,YES
2019-12-13T15:06:00+00:00,SHORT,SL,-1.0,YES
2019-12-16T15:21:00+00:00,SHORT,SL,-1.0,YES
2019-12-17T12:42:00+00:00,SHORT,TP,1.4,YES
2019-12-18T12:06:00+00:00,SHORT,BE,0.0,YES
2019-12-19T15:12:00+00:00,SHORT,SL,-1.0,YES
2019-12-20T14:09:00+00:00,SHORT,SL,-1.0,YES
2019-12-23T12:54:00+00:00,SHORT,SL,-1.0521,YES
2019-12-26T12:00:00+00:00,SHORT,TP,1.4,YES
2019-12-27T12:06:00+00:00,SHORT,TP,1.4,YES
2019-12-30T15:54:00+00:00,SHORT,SL,-1.0467,YES
2019-12-31T13:09:00+00:00,SHORT,TP,1.4,YES
