entry_time,side,outcome,pnl_net_ftmo,auditable
2019-08-01T13:15:00+00:00,SHORT,TIME_EXIT,NaN,NO
2019-08-02T11:00:00+00:00,SHORT,TIME_EXIT,NaN,NO
2019-08-05T11:00:00+00:00,SHORT,SL,-1.0,YES
2019-08-06T11:36:00+00:00,SHORT,SL,-1.0,YES
2019-08-07T11:18:00+00:00,SHORT,TP,1.4,YES
2019-08-08T20:09:00+00:00,SHORT,SL,-1.0,YES
2019-08-09T16:51:00+00:00,SHORT,SL,-1.0,YES
2019-08-12T13:09:00+00:00,SHORT,TP,1.4,YES
2019-08-13T15:42:00+00:00,SHORT,SL,-1.0,YES
2019-08-14T13:54:00+00:00,SHORT,SL,-1.0,YES
2019-08-16T14:18:00+00:00,SHORT,TP,1.3573,YES
2019-08-19T12:21:00+00:00,SHORT,SL,-1.0,YES
2019-08-20T12:18:00+00:00,SHORT,TP,1.4,YES
2019-08-21T12:09:00+00:00,SHORT,SL,-1.0,YES
2019-08-22T13:45:00+00:00,SHORT,TP,1.3671,YES
2019-08-23T13:06:00+00:00,SHORT,TP,1.3412,YES
2019-08-26T12:00:00+00:00,SHORT,TP,1.365,YES
2019-08-27T14:39:00+00:00,SHORT,TP,1.351,YES
2019-08-28T11:03:00+00:00,SHORT,SL,-1.0,YES
2019-08-30T13:06:00+00:00,SHORT,TP,1.4,YES
