entry_time,side,outcome,pnl_net_ftmo,auditable
2019-11-01T13:18:00+00:00,SHORT,TIME_EXIT,NaN,NO
2019-11-04T13:06:00+00:00,SHORT,SL,-1.0,YES
2019-11-05T12:00:00+00:00,SHORT,SL,-1.0,YES
2019-11-06T15:33:00+00:00,SHORT,SL,-1.0,YES
2019-11-07T15:00:00+00:00,SHORT,SL,-1.0,YES
2019-11-08T16:03:00+00:00,SHORT,SL,-1.0943,YES
2019-11-12T13:42:00+00:00,SHORT,TP,1.3398,YES
2019-11-13T12:21:00+00:00,SHORT,TP,1.3612,YES
2019-11-14T17:57:00+00:00,SHORT,TP,1.4,YES
2019-11-15T12:27:00+00:00,SHORT,TP,1.4,YES
2019-11-18T14:18:00+00:00,SHORT,TP,1.4,YES
2019-11-19T14:00:00+00:00,SHORT,SL,-1.0,YES
2019-11-20T12:30:00+00:00,SHORT,TP,1.4,YES
2019-11-21T12:42:00+00:00,SHORT,TP,1.4,YES
2019-11-22T14:45:00+00:00,SHORT,SL,-1.0,YES
2019-11-25T15:30:00+00:00,SHORT,SL,-1.0,YES
2019-11-26T12:36:00+00:00,SHORT,TP,1.4,YES
2019-11-27T14:03:00+00:00,SHORT,SL,-1.0,YES
2019-11-28T12:27:00+00:00,SHORT,TP,1.4,YES
2019-11-29T13:00:00+00:00,SHORT,SL,-1.0,YES
