pair,month,trades,wins,losses,win_rate,total_pnl_r,total_pnl_usd,avg_pnl_r,max_drawdown_pct,profit_factor
EURUSD,2022-02,2,1,1,50.0,0.6624271559686992,662.4271559686991,0.3312135779843496,0.0,7.198411207811567
EURUSD,2022-04,1,0,1,0.0,-1.067175114268662,-1067.1751142686621,-1.067175114268662,0.0,0.0
EURUSD,2022-07,1,0,1,0.0,-1.175894972655791,-1175.894972655791,-1.175894972655791,0.0,0.0
EURUSD,2022-09,1,0,1,0.0,-1.2222279361420219,-1222.227936142022,-1.2222279361420219,0.0,0.0
EURUSD,2023-02,1,0,1,0.0,-1.1230316619422889,-1123.0316619422888,-1.1230316619422889,0.0,0.0
EURUSD,2023-03,2,2,0,100.0,0.1633000240345421,163.3000240345421,0.08165001201727105,0.0,inf
EURUSD,2023-04,1,1,0,100.0,0.6803840738776505,680.3840738776505,0.6803840738776505,0.0,inf
EURUSD,2023-06,1,0,1,0.0,-1.2218609698292817,-1221.8609698292817,-1.2218609698292817,0.0,0.0
EURUSD,2023-07,1,0,1,0.0,-1.2371743966804083,-1237.1743966804083,-1.2371743966804083,0.0,0.0
EURUSD,2023-08,1,0,1,0.0,-0.0038753974520287214,-3.8753974520287215,-0.0038753974520287214,0.0,0.0
EURUSD,2023-09,1,1,0,100.0,0.7535807073424812,753.5807073424812,0.7535807073424812,0.0,inf
EURUSD,2023-11,1,1,0,100.0,0.41951275525367887,419.51275525367885,0.41951275525367887,0.0,inf
EURUSD,2024-04,2,1,1,50.0,-0.5914334316991264,-591.4334316991265,-0.2957167158495632,1.2500738840502983,0.5300159106751849
EURUSD,2024-06,1,1,0,100.0,0.6929135835350212,692.9135835350212,0.6929135835350212,0.0,inf
EURUSD,2024-08,2,1,1,50.0,-0.08161228217301533,-81.61228217301533,-0.040806141086507666,0.2242100930720163,0.6365203337957523
EURUSD,2024-11,1,1,0,100.0,0.1056949256662052,105.6949256662052,0.1056949256662052,0.0,inf
EURUSD,2024-12,1,1,0,100.0,0.7743972852368485,774.3972852368485,0.7743972852368485,0.0,inf
EURUSD,2025-01,2,1,1,50.0,-0.39320625405074006,-393.2062540507402,-0.19660312702537003,1.1194862583166652,0.6513229176998555
EURUSD,2025-04,1,1,0,100.0,0.09415276810266425,94.15276810266425,0.09415276810266425,0.0,inf
EURUSD,2025-05,1,1,0,100.0,0.6194271237991996,619.4271237991996,0.6194271237991996,0.0,inf
EURUSD,2025-07,3,1,2,33.33333333333333,-2.0970984376162427,-2097.098437616243,-0.6990328125387476,1.2050941004288245,0.1107604773836172
EURUSD,2025-09,1,0,1,0.0,-1.1808394128712045,-1180.8394128712046,-1.1808394128712045,0.0,0.0
EURUSD,2025-11,1,0,1,0.0,-1.273877298061318,-1273.877298061318,-1.273877298061318,0.0,0.0
EURUSD,2025-12,2,1,1,50.0,0.05201474195117409,52.014741951174074,0.026007370975587044,0.18108787694510944,1.286565606349826
