trade_id,entry_time,side,outcome,pnl_r_base,commission_r,pnl_r_net
N/A,2016-03-01T15:39:00+00:00,SHORT,TP,1.4,0.023,1.377
N/A,2016-03-02T13:00:00+00:00,SHORT,SL,-1.0,0.0276,-1.0276
N/A,2016-03-03T12:15:00+00:00,SHORT,TP,1.4,0.0459,1.3541
N/A,2016-03-04T12:21:00+00:00,SHORT,SL,-1.0,0.0446,-1.0446
N/A,2016-03-07T15:09:00+00:00,SHORT,TP,1.4,0.0273,1.3727
N/A,2016-03-08T12:54:00+00:00,SHORT,SL,-1.0,0.0417,-1.0417
N/A,2016-03-10T12:30:00+00:00,SHORT,SL,-1.0,0.0249,-1.0249
N/A,2016-03-14T17:15:00+00:00,SHORT,SL,-1.0,0.0446,-1.0446
N/A,2016-03-16T13:06:00+00:00,SHORT,SL,-1.0,0.0276,-1.0276
N/A,2016-03-21T15:42:00+00:00,SHORT,TP,1.4,0.0291,1.3709
N/A,2016-03-22T13:09:00+00:00,SHORT,SL,-1.0,0.0289,-1.0289
N/A,2016-03-24T11:15:00+00:00,SHORT,SL,-1.0,0.05,-1.05
N/A,2016-03-25T11:45:00+00:00,SHORT,SL,-1.0,0.0725,-1.0725
N/A,2016-03-28T11:48:00+00:00,SHORT,TP,1.4,0.0446,1.3554
N/A,2016-03-29T11:00:00+00:00,SHORT,TP,1.4,0.0255,1.3745
N/A,2016-03-30T11:12:00+00:00,SHORT,TP,1.4,0.037,1.363
N/A,2016-03-31T11:30:00+00:00,SHORT,TP,1.4,0.0362,1.3638
