trade_id,entry_time,side,outcome,pnl_r_base,commission_r,pnl_r_net
N/A,2016-02-01T14:33:00+00:00,SHORT,TP,1.4,0.0463,1.3537
N/A,2016-02-02T13:12:00+00:00,SHORT,TP,1.4,0.0427,1.3573
N/A,2016-02-03T12:33:00+00:00,SHORT,TP,1.4,0.0439,1.3561
N/A,2016-02-05T15:45:00+00:00,SHORT,TP,1.4,0.0238,1.3762
N/A,2016-02-08T12:15:00+00:00,SHORT,SL,-1.0,0.036,-1.036
N/A,2016-02-09T13:00:00+00:00,SHORT,TP,1.4,0.0321,1.3679
N/A,2016-02-10T13:27:00+00:00,SHORT,SL,-1.0,0.0209,-1.0209
N/A,2016-02-11T16:03:00+00:00,SHORT,TP,1.4,0.0355,1.3645
N/A,2016-02-12T12:30:00+00:00,SHORT,SL,-1.0,0.0362,-1.0362
N/A,2016-02-15T14:39:00+00:00,SHORT,SL,-1.0,0.0182,-1.0182
N/A,2016-02-16T14:39:00+00:00,SHORT,SL,-1.0,0.027,-1.027
N/A,2016-02-17T14:12:00+00:00,SHORT,SL,-1.0,0.0296,-1.0296
N/A,2016-02-18T14:33:00+00:00,SHORT,TP,1.4,0.0281,1.3719
N/A,2016-02-19T16:03:00+00:00,SHORT,TP,1.4,0.0331,1.3669
N/A,2016-02-22T12:00:00+00:00,SHORT,BE,0.0,0.1282,-0.1282
N/A,2016-02-23T12:12:00+00:00,SHORT,TP,1.4,0.0526,1.3474
N/A,2016-02-24T13:00:00+00:00,SHORT,TP,1.4,0.0667,1.3333
N/A,2016-02-25T12:48:00+00:00,SHORT,SL,-1.0,0.0467,-1.0467
N/A,2016-02-26T13:00:00+00:00,SHORT,SL,-1.0,0.0556,-1.0556
N/A,2016-02-29T15:24:00+00:00,SHORT,TIME_EXIT_FALLBACK,-0.5728,0.0166,-0.5894
