pb_balanced_adx_max,pb_active_adx_min,pb_core_extension_atr,pb_breakout_compression_atr_max,pb_breakout_trigger_range_atr_min,stop_atr_multiple,pb_take_profit_rr_cap,pb_max_hold_bars,validation_score,full_sample_goal_score,avg_validation_goal_score,avg_validation_robustness,avg_validation_return_pct,avg_validation_sharpe,worst_validation_drawdown_pct,profitable_window_ratio,full_sample_robustness,initial_capital,final_equity,total_return_pct,max_drawdown_pct,sharpe_ratio,profit_factor,total_trades,wins,losses,break_even_trades,win_rate_pct,trades_per_month,profit_month_ratio,avg_monthly_net_pnl_usd,expectancy_usd,avg_trade_minutes,median_trade_minutes,max_consecutive_wins,max_consecutive_losses
18.0,22.0,0.35,0.45,0.7,0.8,0.8,6,-39.23095221125781,-96.31853535016442,-64.78028072992636,0.06475211921856437,-22.483287991540884,-5.535112925453862,27.999808368858243,0.0,0.05230395309119161,100000.0,66579.92646276935,-33.42007353723066,33.643645125775116,-4.704329846067326,0.20157689154322048,166,66,100,0,39.75903614457831,6.916666666666667,0.041666666666666664,-1392.503064051279,-201.32574420018486,10.662650602409638,10.0,3,11
18.0,22.0,0.35,0.45,0.7,0.8,0.8,4,-39.32793896120273,-94.99106020705923,-64.240224012088,0.06800957509840583,-22.1280585770851,-5.443649915065864,27.199926906905997,0.0,0.057104942641418896,100000.0,67281.44855027444,-32.71855144972557,32.94447870935342,-4.602790004849948,0.2166456137607518,166,65,101,0,39.1566265060241,6.916666666666667,0.041666666666666664,-1363.2729770719009,-197.0997075284676,10.36144578313253,10.0,3,11
18.0,22.0,0.35,0.45,0.5,0.8,0.8,6,-44.03648894930425,-99.86016614881434,-77.353438065539,0.054514800001350644,-25.399281318406487,-6.095920909958936,31.041829397993236,0.0,0.05201873340714736,100000.0,66186.64212056532,-33.81335787943468,34.035608841631124,-4.686808131046103,0.210687908617472,172,68,104,0,39.53488372093023,7.166666666666667,0.0,-1408.889911643104,-196.58928999671218,11.569767441860465,10.0,4,12
18.0,22.0,0.35,0.45,0.5,0.8,0.8,4,-45.09094946684274,-103.54486392278172,-78.82053922627023,0.05757890901363226,-25.295157684951825,-6.0161731946730646,30.586648179042736,0.0,0.05483935330405222,100000.0,65883.13682828752,-34.11686317171249,34.338094980480385,-4.662929537037151,0.22363884318467347,174,66,108,0,37.93103448275862,7.25,0.0,-1421.5359654880242,-196.07392627421024,11.206896551724139,10.0,4,12
18.0,22.0,0.35,0.45,0.7,0.8,0.6,4,-45.23888103897813,-112.49878772949359,-76.49462632415965,0.03851537680993265,-23.74938713982609,-6.098841451489282,28.932502391065295,0.0,0.02929279644648602,100000.0,64940.97936086415,-35.05902063913585,35.21255683057005,-5.216530130001548,0.12198011003923077,165,59,106,0,35.75757575757576,6.875,0.0,-1460.792526630659,-212.47891296445948,9.545454545454545,5.0,3,11
18.0,22.0,0.35,0.45,0.7,0.8,0.6,6,-47.28565119711342,-119.34907709660536,-80.27058890170062,0.038692456809007396,-23.842953154000902,-6.154000982106812,29.281734407327605,0.0,0.027771060588898843,100000.0,64811.211081879526,-35.18878891812047,35.34201830593821,-5.258343174055438,0.11598584034634482,165,58,107,0,35.15151515151515,6.875,0.0,-1466.1995382550176,-213.26538738254803,9.696969696969697,5.0,3,13
18.0,22.0,0.35,0.45,0.5,0.8,0.6,4,-47.598059659621214,-110.52249108466,-85.41267364753419,0.04058008097264472,-26.503393473230112,-6.522797767928219,31.886503617239782,0.0,0.03398609692657716,100000.0,64167.27205966646,-35.83272794033354,35.98443490046449,-5.130446018753224,0.14404789347241054,173,62,111,0,35.83815028901734,7.208333333333333,0.0,-1493.030330847231,-207.12559503082963,10.115606936416185,10.0,3,10
18.0,22.0,0.35,0.45,0.5,0.8,0.6,6,-47.733795716950276,-108.23006952134776,-85.21991067817206,0.03992141655186669,-26.205135729072992,-6.569943516166746,31.74715413304287,0.0,0.03264710861131562,100000.0,64882.105224176885,-35.11789477582311,35.271291774550185,-5.137255326000151,0.13613049512798786,172,62,110,0,36.04651162790697,7.166666666666667,0.0,-1463.2456156592925,-204.17380683618032,10.203488372093023,10.0,3,10
18.0,22.0,0.35,0.6,0.5,0.8,0.8,6,-49.722982146971816,-149.07102706810065,-99.8349744348818,0.03951943623852616,-33.18721581315749,-7.024665730074156,34.14828140236402,0.0,0.03752474477192163,100000.0,57925.66707315586,-42.074332926844136,42.21623983412195,-5.485283576980551,0.1842578039009219,194,62,132,0,31.958762886597935,8.083333333333334,0.0,-1753.0972052851737,-216.8780047775473,12.036082474226804,10.0,4,16
18.0,22.0,0.35,0.45,0.7,0.6,0.8,6,-53.09590010163093,-121.85522015846203,-86.18392147034776,0.03952686199243013,-22.102792703613062,-6.468580166224706,26.440775719799785,0.0,0.02971818125673217,100000.0,67208.45960830625,-32.79154039169375,32.95043745518086,-5.461525418361519,0.11757582963459534,164,50,114,0,30.48780487804878,6.833333333333333,0.0,-1366.3141829872375,-199.94841702252256,8.262195121951219,5.0,3,13
