ID,Veredicto,Trades,PF Bruto,PF Neto,Exp Neta R,DD R,Winrate
01_ORB_V1,ORB_V1_REJECTED,1011,1.063,N/A,N/A,N/A,N/A
02_LCF_V1,LCF_V1_REJECTED,325,0.763,N/A,N/A,N/A,N/A
03_NMCB_V1,NMCB_V1_REJECTED,74,1.0,0.761,-0.136,10.0,50.0
04_AVE_V1,AVE_V1_REJECTED,1150,0.915,0.364,-0.728,N/A,31.39
05_MTLR_V1,MTLR_V1_REJECTED,1757,0.911,0.645,-0.303,N/A,31.3
06_VWAP_DMR_V1,VWAP_DMR_V1_REJECTED,1223,1.142,0.806,-0.106,N/A,53.31
07_EMA_TPC_V1,EMA_TPC_V1_REJECTED,1746,0.925,0.689,-0.256,N/A,31.62
08_PDM_RECLAIM_V1,PDM_RECLAIM_V1_REJECTED,544,0.974,0.739,-0.2,N/A,35.11
09_POST_NEWS_DRIFT_V1,REJECTED_CONFIRMED,708,1.088,0.964,-0.013,-23.22,0.508
10_NY_PM_ROTATION_V1,NY_PM_ROTATION_V1_REJECTED,315,N/A,0.518,N/A,-126.97,0.397
