pair,bars,coverage_ratio,missing_bars,max_missing_streak_bars,duplicate_timestamps,unexpected_schedule_bars,weekend_bars,zero_range_bars,nonpositive_prices,invalid_hilo_bars,outlier_return_bars,quality_score,quality_status
AUDUSD,840,1.0,0,0,0,0,0,264,0,0,0,98.68,pass
GBPUSD,840,1.0,0,0,0,0,0,264,0,0,0,98.68,pass
GBPJPY,840,1.0,0,0,0,0,0,265,0,0,0,98.675,pass
USDCAD,840,1.0,0,0,0,0,0,265,0,0,0,98.675,pass
USDJPY,840,1.0,0,0,0,0,0,264,0,0,1,98.63000000000001,pass
EURUSD,840,1.0,0,0,0,0,0,266,0,0,1,98.62,pass
USDCHF,840,1.0,0,0,0,0,0,264,0,0,2,98.58000000000001,pass
