pair,month,trades,wins,losses,win_rate,total_pnl_r,total_pnl_usd,avg_pnl_r,max_drawdown_pct,profit_factor
EURUSD,2020-02,1,1,0,100.0,0.614346565526176,614.3465655261759,0.614346565526176,0.0,inf
EURUSD,2020-03,1,1,0,100.0,0.8527665615086718,852.7665615086718,0.8527665615086718,0.0,inf
EURUSD,2020-05,1,1,0,100.0,0.5492712416491934,549.2712416491934,0.5492712416491934,0.0,inf
EURUSD,2020-06,1,0,1,0.0,-1.1561840944580593,-1156.1840944580592,-1.1561840944580593,0.0,0.0
EURUSD,2020-07,1,0,1,0.0,-1.157690374659744,-1157.690374659744,-1.157690374659744,0.0,0.0
EURUSD,2020-09,2,1,1,50.0,-1.095326667991911,-1095.3266679919109,-0.5476633339959555,0.0,0.0074275361260534
EURUSD,2020-10,2,0,2,0.0,-2.6069453390737563,-2606.9453390737563,-1.3034726695368781,1.3876224394579828,0.0
EURUSD,2020-11,1,1,0,100.0,0.19042927360096212,190.42927360096212,0.19042927360096212,0.0,inf
EURUSD,2020-12,2,2,0,100.0,0.18198103619794312,181.9810361979431,0.09099051809897156,0.0,inf
EURUSD,2021-01,3,1,2,33.33333333333333,-1.3592598713652528,-1359.2598713652528,-0.45308662378841763,0.15893020624443235,0.0569955792564202
EURUSD,2021-04,1,1,0,100.0,0.016349375243906904,16.349375243906906,0.016349375243906904,0.0,inf
EURUSD,2021-06,4,1,3,25.0,-2.599703732841414,-2599.7037328414144,-0.6499259332103535,2.816485663014985,0.07902331715562279
EURUSD,2021-08,3,1,2,33.33333333333333,-0.914167113673007,-914.167113673007,-0.30472237122433565,0.19163663314345208,0.35679099216725585
EURUSD,2021-11,1,0,1,0.0,-1.284265326219409,-1284.265326219409,-1.284265326219409,0.0,0.0
