trade_id,entry_time,side,entry_price,sl,tp,risk_pips,outcome,pnl_base,pnl_net_ftmo,commission_r,auditable_yes_no,non_auditable_reason
N/A,2018-08-01T13:15:00+00:00,SHORT,1.16833,1.16833,1.166986,0.0,SL,-1.0,-1.0,0.0,YES,NONE
N/A,2018-08-03T12:12:00+00:00,SHORT,1.15878,1.15878,1.1556299999999995,0.0,SL,-1.0,-1.0,0.0,YES,NONE
N/A,2018-08-06T14:00:00+00:00,SHORT,1.155,1.155,1.1560500000000005,0.0,TP,1.4,1.4,0.0,YES,NONE
N/A,2018-08-07T12:15:00+00:00,SHORT,1.15979,1.15979,1.158208,0.0,SL,-1.0,-1.0,0.0,YES,NONE
N/A,2018-08-08T11:18:00+00:00,SHORT,1.15922,1.15922,1.1581139999999994,0.0,SL,-1.0,-1.0,0.0,YES,NONE
N/A,2018-08-09T14:21:00+00:00,SHORT,1.15864,1.15864,1.1571979999999995,0.0,SL,-1.0,-1.0,0.0,YES,NONE
N/A,2018-08-10T13:12:00+00:00,SHORT,1.14323,1.14323,1.1407939999999996,0.0,SL,-1.0,-1.0,0.0,YES,NONE
N/A,2018-08-13T12:24:00+00:00,SHORT,1.14127,1.14127,1.1447420000000004,0.0,TP,1.4,1.4,0.0,YES,NONE
N/A,2018-08-14T11:00:00+00:00,SHORT,1.14015,1.14015,1.1376719999999996,0.0,SL,-1.0,-1.0,0.0,YES,NONE
N/A,2018-08-15T14:51:00+00:00,SHORT,1.13096,1.13268,1.1285519999999998,17.2,SL,-1.0,-1.0291,0.0291,YES,NONE
N/A,2018-08-16T13:36:00+00:00,SHORT,1.13841,1.13841,1.14128,0.0,TP,1.4,1.4,0.0,YES,NONE
N/A,2018-08-17T13:48:00+00:00,SHORT,1.14136,1.14136,1.142984,0.0,TP,1.4,1.4,0.0,YES,NONE
N/A,2018-08-20T13:27:00+00:00,SHORT,1.14369,1.14369,1.146042000000001,0.0,TP,1.4,1.4,0.0,YES,NONE
N/A,2018-08-21T12:00:00+00:00,SHORT,1.15142,1.1519700000000002,1.15065,5.5,TP,1.4,1.3091,0.0909,YES,NONE
N/A,2018-08-22T11:00:00+00:00,SHORT,1.15947,1.15947,1.1601280000000005,0.0,TP,1.4,1.4,0.0,YES,NONE
N/A,2018-08-23T13:03:00+00:00,SHORT,1.15653,1.15653,1.152848,0.0,SL,-1.0,-1.0,0.0,YES,NONE
N/A,2018-08-27T14:21:00+00:00,SHORT,1.16621,1.16621,1.1685480000000004,0.0,TP,1.4,1.4,0.0,YES,NONE
N/A,2018-08-28T11:09:00+00:00,SHORT,1.17001,1.17001,1.1709480000000003,0.0,TP,1.4,1.4,0.0,YES,NONE
N/A,2018-08-29T11:00:00+00:00,SHORT,1.16555,1.1669400000000003,1.163604,13.9,SL,-1.0,-1.036,0.036,YES,NONE
N/A,2018-08-30T16:18:00+00:00,SHORT,1.16517,1.16517,1.1667100000000006,0.0,TP,1.4,1.4,0.0,YES,NONE
N/A,2018-08-31T11:15:00+00:00,SHORT,1.16493,1.16493,1.1623259999999995,0.0,SL,-1.0,-1.0,0.0,YES,NONE
