run_id,writer_pid,engine_instance_id,family_id,config_id,month,trades,signals
24bb295d,4948,24bb295d_F08_RERUN_0002_2020-03,F08,F08_RERUN_0002,2020-03,1,4
24bb295d,4948,24bb295d_F08_RERUN_0003_2020-03,F08,F08_RERUN_0003,2020-03,1,4
24bb295d,4948,24bb295d_F08_RERUN_0004_2020-03,F08,F08_RERUN_0004,2020-03,1,4
24bb295d,4948,24bb295d_F08_RERUN_0005_2020-03,F08,F08_RERUN_0005,2020-03,1,4
24bb295d,4948,24bb295d_F08_RERUN_0006_2020-03,F08,F08_RERUN_0006,2020-03,1,4
24bb295d,4948,24bb295d_F08_RERUN_0007_2020-03,F08,F08_RERUN_0007,2020-03,1,4
24bb295d,4948,24bb295d_F08_RERUN_0008_2020-03,F08,F08_RERUN_0008,2020-03,1,4
24bb295d,4948,24bb295d_F08_RERUN_0009_2020-03,F08,F08_RERUN_0009,2020-03,1,4
24bb295d,4948,24bb295d_F08_RERUN_0010_2020-03,F08,F08_RERUN_0010,2020-03,1,4
24bb295d,4948,24bb295d_F08_RERUN_0011_2020-03,F08,F08_RERUN_0011,2020-03,1,4
24bb295d,4948,24bb295d_F08_RERUN_0012_2020-03,F08,F08_RERUN_0012,2020-03,1,4
24bb295d,4948,24bb295d_F08_RERUN_0013_2020-03,F08,F08_RERUN_0013,2020-03,1,4
24bb295d,4948,24bb295d_F08_RERUN_0014_2020-03,F08,F08_RERUN_0014,2020-03,1,4
24bb295d,4948,24bb295d_F08_RERUN_0015_2020-03,F08,F08_RERUN_0015,2020-03,1,4
24bb295d,4948,24bb295d_F08_RERUN_0016_2020-03,F08,F08_RERUN_0016,2020-03,1,4
24bb295d,4948,24bb295d_F08_RERUN_0017_2020-03,F08,F08_RERUN_0017,2020-03,1,4
24bb295d,4948,24bb295d_F08_RERUN_0018_2020-03,F08,F08_RERUN_0018,2020-03,1,4
24bb295d,4948,24bb295d_F08_RERUN_0019_2020-03,F08,F08_RERUN_0019,2020-03,1,4
24bb295d,4948,24bb295d_F08_RERUN_0020_2020-03,F08,F08_RERUN_0020,2020-03,1,4
24bb295d,4948,24bb295d_F08_RERUN_0021_2020-03,F08,F08_RERUN_0021,2020-03,1,4
