pair,year,trades,wins,losses,win_rate,total_pnl_r,total_pnl_usd,avg_pnl_r,max_drawdown_pct,profit_factor
EURUSD,2020,8,4,4,50.0,-3.939901485361201,-3939.901485361201,-0.4924876856701501,3.256906914542315,0.18257340788360024
EURUSD,2021,7,1,6,14.285714285714285,-4.278694124830518,-4278.694124830518,-0.6112420178329312,3.0316291976328302,0.004059308730741271
