config_id,phase,entry_time,exit_time,entry_price,exit_price,direction,pnl_net_r,slippage
V49_B3_0001,TRAIN,2020-01-03 14:51:00+00:00,2020-01-03 14:55:19.640000+00:00,1.11534,1.115025,LONG,-1.2222,0.2
V49_B3_0001,TRAIN,2020-01-07 13:09:00+00:00,2020-01-07 13:11:16.238000+00:00,1.11739,1.117105,LONG,-1.2456,0.2
V49_B3_0001,TRAIN,2020-01-09 14:12:00+00:00,2020-01-09 14:17:37.783000+00:00,1.11123,1.1106000000000003,LONG,-1.1111,0.2
V49_B3_0001,TRAIN,2020-01-10 13:36:00+00:00,2020-01-10 13:58:41.861000+00:00,1.1108,1.1098549999999998,SHORT,1.3889,0.2
V49_B3_0001,TRAIN,2020-01-13 12:33:00+00:00,2020-01-13 12:42:01.307000+00:00,1.11259,1.1122299999999998,LONG,-1.1944,0.2
V49_B3_0001,TRAIN,2020-01-23 12:03:00+00:00,2020-01-23 12:55:40.760000+00:00,1.10908,1.1086750000000003,SHORT,1.2407,0.2
V49_B3_0001,TRAIN,2020-01-30 14:42:00+00:00,2020-01-30 14:42:41.565000+00:00,1.10165,1.1018,SHORT,-1.4667,0.2
V49_B3_0002,TRAIN,2020-01-03 15:03:00+00:00,2020-01-03 16:20:37.729000+00:00,1.11571,1.1171799999999998,SHORT,-1.0476,0.2
V49_B3_0002,TRAIN,2020-01-09 15:51:00+00:00,2020-01-09 17:28:27.952000+00:00,1.10976,1.1109600000000004,LONG,2.3542,0.2
V49_B3_0002,TRAIN,2020-01-10 15:15:00+00:00,2020-01-10 15:22:28.341000+00:00,1.11067,1.11106,SHORT,-1.1795,0.2
V49_B3_0002,TRAIN,2020-01-10 15:24:00+00:00,2020-01-10 15:39:02.979000+00:00,1.11091,1.1113,SHORT,-1.1795,0.2
V49_B3_0002,TRAIN,2020-01-13 15:45:00+00:00,2020-01-13 16:14:50.501000+00:00,1.1136,1.11393,SHORT,-1.2121,0.2
V49_B3_0002,TRAIN,2020-01-13 15:51:00+00:00,2020-01-13 16:14:28.367000+00:00,1.11359,1.113785,SHORT,-1.359,0.2
V49_B3_0002,TRAIN,2020-01-20 15:03:00+00:00,2020-01-20 15:07:33.884000+00:00,1.10823,1.10811,LONG,-1.5833,0.2
V49_B3_0002,TRAIN,2020-01-20 16:03:00+00:00,2020-01-20 18:53:02.324000+00:00,1.10833,1.1089299999999997,LONG,2.2083,0.2
V49_B3_0002,TRAIN,2020-01-20 16:12:00+00:00,2020-01-20 18:50:06.983000+00:00,1.10827,1.1086825000000002,LONG,2.0758,0.2
V49_B3_0002,TRAIN,2020-01-22 16:03:00+00:00,2020-01-22 16:07:43.512000+00:00,1.10758,1.1079925000000002,LONG,2.0758,0.2
V49_B3_0002,TRAIN,2020-01-24 15:45:00+00:00,2020-01-24 15:49:40.209000+00:00,1.103,1.102685,LONG,-1.2222,0.2
V49_B3_0002,TRAIN,2020-01-29 14:36:00+00:00,2020-01-29 14:42:17.894000+00:00,1.0995,1.100025,LONG,2.1667,0.2
V49_B3_0003,TRAIN,2020-01-13 15:45:00+00:00,2020-01-13 16:14:50.501000+00:00,1.1136,1.11393,SHORT,-1.2121,0.2
