config_id,date_only,phase,rows_count,signals_count,max_allowed,violation
M4_000,2022-10-07,VAL,2,1.0,3,False
M4_000,2022-10-12,VAL,4,2.0,3,False
M4_000,2022-10-13,VAL,4,2.0,3,False
M4_000,2022-10-17,VAL,2,1.0,3,False
M4_000,2022-10-21,VAL,4,2.0,3,False
M4_000,2022-10-24,VAL,2,1.0,3,False
M4_000,2022-10-25,VAL,2,1.0,3,False
M4_000,2022-10-28,VAL,2,1.0,3,False
M4_000,2022-11-04,VAL,4,2.0,3,False
M4_000,2022-11-17,VAL,4,2.0,3,False
M4_000,2022-11-29,VAL,2,1.0,3,False
M4_000,2022-11-30,VAL,2,1.0,3,False
M4_000,2022-12-05,VAL,6,3.0,3,False
M4_000,2022-12-07,VAL,4,2.0,3,False
M4_000,2022-12-30,VAL,2,1.0,3,False
M4_000,2023-01-05,VAL,6,3.0,3,False
M4_000,2023-01-06,VAL,2,1.0,3,False
M4_000,2023-01-12,VAL,6,3.0,3,False
M4_000,2023-01-17,VAL,2,1.0,3,False
M4_000,2023-01-24,VAL,4,2.0,3,False
M4_000,2023-01-26,VAL,2,1.0,3,False
M4_000,2023-01-30,VAL,2,1.0,3,False
M4_000,2023-02-13,VAL,4,2.0,3,False
M4_000,2023-02-15,VAL,4,2.0,3,False
M4_000,2023-02-21,VAL,2,1.0,3,False
M4_000,2023-02-22,VAL,4,2.0,3,False
M4_000,2023-02-27,VAL,2,1.0,3,False
M4_000,2023-02-28,VAL,2,1.0,3,False
M4_000,2023-03-07,VAL,4,2.0,3,False
M4_000,2023-03-13,VAL,2,1.0,3,False
M4_000,2023-04-04,VAL,4,2.0,3,False
M4_000,2023-04-17,VAL,2,1.0,3,False
M4_000,2023-04-26,VAL,2,1.0,3,False
M4_000,2023-04-28,VAL,2,1.0,3,False
M4_000,2023-05-01,VAL,4,2.0,3,False
M4_000,2023-05-04,VAL,4,2.0,3,False
M4_000,2023-05-08,VAL,2,1.0,3,False
M4_000,2023-05-18,VAL,2,1.0,3,False
