trade_id,config_id,phase,slippage,month,side,entry_time,exit_time,entry_price,exit_price,sl_price,exit_reason,gross_r,net_r,sl_pips,commission_r,slippage_r,eom_type,valid_closed_trade,sweep_depth_pips,sweep_depth_atr,displacement_body_atr,level_type,ftmo_blown,artificial_eom,included_in_metrics
914d4ee5-6e96-4f46-b586-d1139d459b8a,M4_021,TRAIN,0.0,2020-01,short,2020-01-07 14:01:47.584000+00:00,2020-01-07 21:55:00.020000+00:00,1.11551,1.11472,1.117885,TIME,0.332631578947395,0.3116,23.75000000000016,0.0211,0.0,SESSION_FORCED_EXIT,True,12.8,1.2818,2.2643,PDH_PDL,False,True,False
789333a0-3ce2-4439-af63-6e78aff67b74,M4_021,TRAIN,0.2,2020-01,short,2020-01-07 14:01:47.584000+00:00,2020-01-07 21:55:00.020000+00:00,1.11551,1.11472,1.117885,TIME,0.332631578947395,0.3032,23.75000000000016,0.0211,0.0084,SESSION_FORCED_EXIT,True,12.8,1.2818,2.2643,PDH_PDL,False,True,False
dffdf7dc-2620-428e-b163-94ae11bd7e2e,M4_023,TRAIN,0.0,2020-01,short,2020-01-07 14:01:47.584000+00:00,2020-01-07 21:55:00.020000+00:00,1.11551,1.11472,1.117885,TIME,0.332631578947395,0.3116,23.75000000000016,0.0211,0.0,SESSION_FORCED_EXIT,True,12.8,1.2818,2.2643,PDH_PDL,False,True,False
063825c6-3a3d-4c3d-affd-d5ffc57f8afc,M4_023,TRAIN,0.2,2020-01,short,2020-01-07 14:01:47.584000+00:00,2020-01-07 21:55:00.020000+00:00,1.11551,1.11472,1.117885,TIME,0.332631578947395,0.3032,23.75000000000016,0.0211,0.0084,SESSION_FORCED_EXIT,True,12.8,1.2818,2.2643,PDH_PDL,False,True,False
60b5dc6f-c153-4d11-ae73-b72399f86b79,M4_027,TRAIN,0.0,2020-01,short,2020-01-07 14:01:47.584000+00:00,2020-01-07 21:55:00.020000+00:00,1.11551,1.11472,1.117885,TIME,0.332631578947395,0.3116,23.75000000000016,0.0211,0.0,SESSION_FORCED_EXIT,True,12.8,1.2818,2.2643,PDH_PDL,False,True,False
d6ebdbf3-ecc8-4de8-9a06-c51e0f52bebe,M4_027,TRAIN,0.2,2020-01,short,2020-01-07 14:01:47.584000+00:00,2020-01-07 21:55:00.020000+00:00,1.11551,1.11472,1.117885,TIME,0.332631578947395,0.3032,23.75000000000016,0.0211,0.0084,SESSION_FORCED_EXIT,True,12.8,1.2818,2.2643,PDH_PDL,False,True,False
226a9d29-071b-45df-8f4a-f98cab14a243,M4_029,TRAIN,0.0,2020-01,short,2020-01-07 14:00:00.137000+00:00,2020-01-07 21:55:00.020000+00:00,1.1156,1.11472,1.117885,TIME,0.38512035010939005,0.3632,22.850000000000925,0.0219,0.0,SESSION_FORCED_EXIT,True,12.8,1.2818,2.2643,PDH_PDL,False,True,False
5e27a2ca-e7b0-4ff4-a24f-b1f3128379ca,M4_029,TRAIN,0.2,2020-01,short,2020-01-07 14:00:00.137000+00:00,2020-01-07 21:55:00.020000+00:00,1.1156,1.11472,1.117885,TIME,0.38512035010939005,0.3545,22.850000000000925,0.0219,0.0088,SESSION_FORCED_EXIT,True,12.8,1.2818,2.2643,PDH_PDL,False,True,False
bec2ba1b-3e13-4716-b5e3-75017a7395c4,M4_030,TRAIN,0.0,2020-01,short,2020-01-07 14:01:47.584000+00:00,2020-01-07 21:55:00.020000+00:00,1.11551,1.11472,1.117885,TIME,0.332631578947395,0.3116,23.75000000000016,0.0211,0.0,SESSION_FORCED_EXIT,True,12.8,1.2818,2.2643,PDH_PDL,False,True,False
013ddef9-26ed-40c0-90be-750c16c61db8,M4_030,TRAIN,0.2,2020-01,short,2020-01-07 14:01:47.584000+00:00,2020-01-07 21:55:00.020000+00:00,1.11551,1.11472,1.117885,TIME,0.332631578947395,0.3032,23.75000000000016,0.0211,0.0084,SESSION_FORCED_EXIT,True,12.8,1.2818,2.2643,PDH_PDL,False,True,False
