trade_id,entry_time,side,entry_price,sl,tp,risk_pips,outcome,pnl_base,pnl_net_ftmo,commission_r,auditable_yes_no,non_auditable_reason
N/A,2018-01-02T21:15:00+00:00,SHORT,1.20576,1.2066200000000002,1.2045559999999995,8.6,SL,-1.0,-1.0581,0.0581,YES,NONE
N/A,2018-01-03T15:33:00+00:00,SHORT,1.20123,1.20123,1.2026160000000004,0.0,TP,1.4,1.4,0.0,YES,NONE
N/A,2018-01-04T14:33:00+00:00,SHORT,1.20727,1.20727,1.2091740000000004,0.0,TP,1.4,1.4,0.0,YES,NONE
N/A,2018-01-05T15:09:00+00:00,SHORT,1.20366,1.20366,1.2060540000000002,0.0,TP,1.4,1.4,0.0,YES,NONE
N/A,2018-01-08T12:36:00+00:00,SHORT,1.19846,1.19846,1.1974659999999997,0.0,SL,-1.0,-1.0,0.0,YES,NONE
N/A,2018-01-10T12:51:00+00:00,SHORT,1.2001,1.2001,1.1975939999999996,0.0,SL,-1.0,-1.0,0.0,YES,NONE
N/A,2018-01-12T14:18:00+00:00,SHORT,1.21348,1.21348,1.216896,0.0,TP,1.4,1.4,0.0,YES,NONE
N/A,2018-01-16T14:33:00+00:00,SHORT,1.22107,1.22107,1.2233800000000006,0.0,TP,1.4,1.4,0.0,YES,NONE
N/A,2018-01-17T13:33:00+00:00,SHORT,1.22185,1.22185,1.2250840000000005,0.0,TP,1.4,1.4,0.0,YES,NONE
N/A,2018-01-18T12:42:00+00:00,SHORT,1.2242,1.2242,1.2225899999999996,0.0,SL,-1.0,-1.0,0.0,YES,NONE
N/A,2018-01-19T14:57:00+00:00,SHORT,1.22512,1.2229499999999998,1.2281580000000003,21.7,TP,1.4,1.377,0.023,YES,NONE
N/A,2018-01-22T17:24:00+00:00,SHORT,1.22342,1.22342,1.2249880000000002,0.0,TP,1.4,1.4,0.0,YES,NONE
N/A,2018-01-23T14:30:00+00:00,SHORT,1.22704,1.22704,1.229882,0.0,TP,1.4,1.4,0.0,YES,NONE
N/A,2018-01-24T12:39:00+00:00,SHORT,1.23406,1.23406,1.235572,0.0,TP,1.4,1.4,0.0,YES,NONE
N/A,2018-01-25T19:03:00+00:00,SHORT,1.24204,1.24204,1.232534,0.0,SL,-1.0,-1.0,0.0,YES,NONE
N/A,2018-01-26T20:36:00+00:00,SHORT,1.24161,1.24161,1.2431360000000005,0.0,TP,1.4,1.4,0.0,YES,NONE
N/A,2018-01-29T14:18:00+00:00,SHORT,1.23589,1.23589,1.2340559999999994,0.0,SL,-1.0,-1.0,0.0,YES,NONE
N/A,2018-01-30T12:15:00+00:00,SHORT,1.24254,1.24254,1.2404679999999997,0.0,SL,-1.0,-1.0,0.0,YES,NONE
N/A,2018-01-31T14:48:00+00:00,SHORT,1.24581,1.24581,1.2477980000000004,0.0,TP,1.4,1.4,0.0,YES,NONE
